FantasyPros.com 
2018 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
120,Houston Texans,HOU,DST,95,120,9.83,
121,Nelson Agholor,PHI,WR,86,111,10.53,
122,New Orleans Saints,NO,DST,91,135,16.49,
123,Baltimore Ravens,BAL,DST,112,132,7.30,
124,Jordy Nelson,FA,WR,98,147,19.91,
125,Jameis Winston,TB,QB,106,149,13.68,
126,Greg Zuerlein,LAR,K,96,160,20.48,
127,Charles Clay,ARI,TE,80,134,22.05,
128,Stephen Gostkowski,NE,K,100,134,13.01,
129,Austin Hooper,ATL,TE,85,131,18.80,
130,Cameron Brate,TB,TE,98,142,18.89,
131,Denver Broncos,DEN,DST,108,145,14.94,
132,Tyrod Taylor,LAC,QB,92,159,30.69,
133,Pierre Garcon,FA,WR,109,138,10.64,
134,Justin Tucker,BAL,K,99,139,15.59,
135,Austin Seferian-Jenkins,FA,TE,107,143,14.74,
136,Eric Ebron,IND,TE,121,132,5.02,
137,Keelan Cole,JAC,WR,92,147,22.73,
138,Kenny Golladay,DET,WR,101,148,21.28,
139,New England Patriots,NE,DST,113,146,12.19,
140,Tyler Lockett,SEA,WR,82,148,28.39,
141,Ryan Tannehill,TEN,QB,121,149,9.34,
142,Sterling Shepard,NYG,WR,95,117,11.00,
143,Matt Bryant,FA,K,104,141,15.41,
144,Julian Edelman,NE,WR,102,113,5.50,
145,Rishard Matthews,FA,WR,116,137,8.65,
146,Pittsburgh Steelers,PIT,DST,109,159,17.81,
147,Mike Williams,LAC,WR,117,150,14.52,
148,Isaiah Crowell,OAK,RB,69,69,0.00,
149,Jordan Matthews,SF,WR,72,72,0.00,
150,Jake Elliott,PHI,K,123,144,9.10,
151,Adrian Peterson,WAS,RB,73,73,0.00,
152,Michael Gallup,DAL,WR,104,130,13.00,
153,Kelvin Benjamin,FA,WR,114,120,3.00,
154,Atlanta Falcons,ATL,DST,119,156,13.55,
155,Sony Michel,NE,RB,76,76,0.00,
156,Wil Lutz,NO,K,111,146,15.64,
157,Matt Prater,DET,K,116,146,13.12,
158,Green Bay Packers,GB,DST,129,138,4.03,
159,Vance McDonald,PIT,TE,120,145,10.80,
160,Aaron Jones,GB,RB,87,87,0.00,
161,Rashaad Penny,SEA,RB,90,90,0.00,
162,Dan Bailey,MIN,K,107,146,19.50,
163,LeGarrette Blount,FA,RB,94,94,0.00,
164,D.J. Moore,CAR,WR,97,97,0.00,
165,Quincy Enunwa,NYJ,WR,113,145,16.00,
166,Chris Boswell,PIT,K,120,152,14.24,
167,Mike Wallace,FA,WR,103,103,0.00,
168,Arizona Cardinals,ARI,DST,115,150,17.50,
169,John Brown,BUF,WR,116,149,16.50,
170,Harrison Butker,KC,K,124,151,12.73,
171,Matt Breida,SF,RB,105,105,0.00,
172,John Ross,CIN,WR,128,142,7.00,
173,Tyrell Williams,OAK,WR,116,158,21.00,
174,Mason Crosby,GB,K,125,152,13.50,
175,Carolina Panthers,CAR,DST,133,144,5.50,
176,Anthony Miller,CHI,WR,117,117,0.00,
177,New York Giants,NYG,DST,118,118,0.00,
178,Ted Ginn,NO,WR,118,118,0.00,
179,Cincinnati Bengals,CIN,DST,126,153,13.50,
180,Graham Gano,CAR,K,127,154,13.50,
181,James Washington,PIT,WR,121,121,0.00,
182,Josh Doctson,WAS,WR,129,153,12.00,
183,Detroit Lions,DET,DST,122,161,19.50,
184,Chris Godwin,TB,WR,141,143,1.00,
185,Joe Flacco,DEN,QB,144,154,4.19,
186,Kansas City Chiefs,KC,DST,134,157,10.61,
187,Kai Forbath,FA,K,128,128,0.00,
188,Brandon McManus,DEN,K,130,159,14.50,
189,Robbie Gould,SF,K,133,156,11.50,
190,Ryan Succop,TEN,K,132,158,13.00,
191,Mike Gesicki,MIA,TE,132,132,0.00,
192,Seattle Seahawks,SEA,DST,133,160,13.50,
193,Dede Westbrook,JAC,WR,133,133,0.00,
194,Jake Butt,DEN,TE,133,133,0.00,
195,Vernon Davis,WAS,TE,137,137,0.00,
196,Randall Cobb,DAL,WR,139,139,0.00,
197,Danny Amendola,DET,WR,140,140,0.00,
198,Sam Darnold,NYJ,QB,149,152,1.50,
199,Stephen Anderson,NE,TE,143,143,0.00,
200,DeSean Jackson,PHI,WR,144,144,0.00,
201,Paul Richardson,WAS,WR,147,147,0.00,
202,Allen Hurns,MIA,WR,148,148,0.00,
203,San Francisco 49ers,SF,DST,150,150,0.00,
204,Mohamed Sanu,ATL,WR,151,151,0.00,
205,Daniel Carlson,OAK,K,153,153,0.00,
206,Sam Bradford,FA,QB,154,154,0.00,
207,Adam Vinatieri,IND,K,155,155,0.00,
208,Cameron Meredith,NE,WR,155,155,0.00,
209,Ka'imi Fairbairn,HOU,K,157,157,0.00,
210,Josh Lambo,JAC,K,158,158,0.00,
