Team,actual_points,name,pos_keep,predicted_points
ARI,116.2,L.Fitzgerald,WR,136.34430389003057
ARI,7.4,J.Gresham,TE,45.070455400728356
ARI,6.4,J.Nelson,WR,59.91704097568441
ARI,196.6,D.Johnson,RB,56.87436603170508
ARI,40.300000000000004,R.Seals-Jones,TE,55.54757638876114
ARI,24.0,C.Williams,WR,37.79049635018492
BAL,101.9,J.Brown,WR,46.52242696630556
NYG,7.5,E.Penny,RB,27.324039890346004
SEA,46.6,J.Brown,WR,44.568473498989064
TEN,23.65,B.Gabbert,QB,59.05354608711944
WAS,169.0,A.Peterson,RB,127.95044463808335
ARI,6.699999999999999,S.Bradford,QB,55.487688856908576
NYG,0.0,S.Coley,WR,20.086247480515915
WAS,16.0,M.Floyd,WR,20.840625155569835
CAR,54.6,J.Wright,WR,45.53976099650318
DEN,156.55,C.Keenum,QB,150.7650161889825
JAX,6.7,B.Bell,TE,14.582895228908853
MIN,87.4,K.Rudolph,TE,60.94135822324926
MIN,194.3,A.Thielen,WR,103.26442336433459
MIN,109.9,L.Murray,RB,74.6750135056804
MIN,164.3,S.Diggs,WR,87.84688245577456
MIN,3.6,D.Morgan,TE,30.653547420703497
MIN,36.2,L.Treadwell,WR,37.38957842553269
MIN,9.3,C.Ham,RB,28.668886599243578
MIN,112.0,D.Cook,RB,100.15954883876631
NO,5.45,T.Bridgewater,QB,39.892102332389385
ARI,2.0,D.Coleman,RB,31.74065347333308
ATL,280.1,M.Ryan,QB,170.3728357030701
ATL,212.9,J.Jones,WR,175.26669392101184
ATL,116.32500000000002,M.Sanu,WR,65.56153949063996
ATL,9.100000000000001,D.Freeman,RB,86.31516577174605
ATL,25.3,J.Hardy,WR,36.5124856980686
ATL,161.6,T.Coleman,RB,81.68586894959535
ATL,92.0,A.Hooper,TE,58.480825181133
ATL,20.9,M.Hall,WR,37.814228525064195
CHI,84.89999999999999,T.Gabriel,WR,38.851145558587866
DET,32.3,L.Toilolo,TE,24.59746926995226
LA,1.7000000000000002,N.Williams,WR,9.678308478054472
NYJ,25.9,A.Roberts,WR,-10.456357917009392
ARI,8.350000000000001,M.Glennon,QB,61.8144192690053
CHI,19.700000000000003,J.Bellamy,WR,50.69151381095361
CHI,2.9,B.Cunningham,RB,29.716712361088703
CHI,0.9,D.Sims,TE,35.981978179875476
CHI,0.6000000000000001,M.Burton,RB,28.301605828242003
CHI,9.200000000000001,K.White,WR,42.841489708973334
CHI,160.0,J.Howard,RB,111.17044349873822
CHI,162.925,T.Cohen,RB,80.46593020876037
CHI,214.67499999999998,M.Trubisky,QB,100.6926279906956
CHI,10.8,A.Shaheen,TE,44.42630788971359
IND,48.400000000000006,D.Inman,WR,61.44809790343671
ARI,0.0,P.Cooper,WR,38.954285742987906
LA,179.60000000000002,R.Woods,WR,64.70358900991847
LA,32.400000000000006,M.Brown,RB,36.01553923443164
LA,313.1,T.Gurley,RB,156.57513234440165
LA,-0.32499999999999996,S.Mannion,QB,17.684570096627176
LA,240.0,J.Goff,QB,118.62786833077864
LA,41.2,T.Higbee,TE,33.86717833030172
LA,1.9000000000000001,J.Davis,RB,13.798414317250334
LA,53.6,G.Everett,TE,35.579146875936765
LA,95.1,C.Kupp,WR,81.31678545675675
LA,71.0,J.Reynolds,WR,27.91161850343082
DAL,31.5,T.Austin,WR,40.87606573709159
KC,75.10000000000001,S.Watkins,WR,69.56891473412657
OAK,12.7,D.Carrier,TE,38.006936941600465
BAL,100.125,J.Flacco,QB,136.4439602574624
BAL,21.1,M.Williams,TE,34.9259629267492
BAL,58.6,J.Allen,RB,81.15043534938773
BAL,21.3,N.Boyle,TE,39.530176193884685
BAL,27.3,C.Moore,WR,40.9603241267404
BAL,93.6,A.Collins,RB,100.17714957089292
NO,52.0,B.Watson,TE,59.16039587924793
CLE,46.2,B.Perriman,WR,29.6989616525367
BAL,78.7,M.Crabtree,WR,95.44254961456602
DAL,1.3,J.Olawale,RB,31.072628238968917
DAL,140.5,A.Cooper,WR,78.29334994521048
OAK,64.0,M.Lynch,RB,119.62806164668662
OAK,125.60000000000001,J.Cook,TE,71.93377715211642
OAK,25.3,L.Smith,TE,35.58691710824125
OAK,155.025,D.Carr,QB,114.45195744208259
OAK,61.900000000000006,S.Roberts,WR,52.87328328620359
OAK,10.4,D.Washington,RB,54.03157962415126
OAK,88.60000000000001,J.Richard,RB,62.557046204903756
NE,75.5,C.Patterson,WR,32.541099172254725
BAL,72.4,W.Snead IV,WR,42.208520365802
NO,244.1,D.Brees,QB,204.17011599564182
NO,35.5,T.Ginn,WR,64.11291932222497
NO,121.5,M.Ingram,RB,125.58659581991945
NO,17.5,Z.Line,RB,37.58377602123354
NO,24.5,J.Hill,TE,41.29376743183186
NO,190.5,M.Thomas,WR,120.54846206136044
NO,11.0,T.Lewis,WR,41.95620212416906
NO,273.20000000000005,A.Kamara,RB,150.41183119503495
CHI,21.975,C.Daniel,QB,21.37500455144971
BAL,46.3,T.Montgomery,RB,64.75753650228842
OAK,93.7,J.Nelson,WR,79.43649323135567
GB,245.95000000000002,A.Rodgers,QB,191.80837618759102
GB,23.0,L.Kendricks,TE,36.448606427957245
GB,48.300000000000004,R.Cobb,WR,87.81827338710308
GB,218.6,D.Adams,WR,93.29527179587313
GB,0.0,T.Davis,WR,34.324819890505665
GB,42.3,G.Allison,WR,55.641075225165366
GB,145.4,A.Jones,RB,75.97913867416278
GB,87.4,J.Williams,RB,96.56001574480354
PHI,0.7000000000000001,R.Rodgers,TE,31.547179205775265
NYG,1.7000000000000002,J.Stewart,RB,58.70711902298935
NYG,30.8,R.Shepard,WR,29.098066613938705
NYG,-2.0,K.Clay,WR,20.335985884202554
SEA,33.2,E.Dickson,TE,41.83866643154466
CAR,53.1,G.Olsen,TE,49.23478805707529
CAR,231.675,C.Newton,QB,203.58267981621543
CAR,14.4,C.Artis-Payne,RB,42.38975197562532
CAR,78.9,D.Funchess,WR,73.32514880209675
CAR,11.2,C.Manhertz,TE,26.17402233973563
CAR,0.8,D.Byrd,WR,35.58838896465222
CAR,277.75,C.McCaffrey,RB,107.53500798091325
CAR,97.80000000000001,C.Samuel,WR,37.607689342959134
BUF,-0.4750000000000001,D.Anderson,QB,19.30922964304055
NYG,25.0,C.Latimer,WR,26.25933799798801
NYG,25.900000000000002,B.Fowler,WR,31.36987729004806
DEN,126.80000000000001,E.Sanders,WR,78.94039993254248
DEN,40.1,J.Heuerman,TE,44.49406098890136
DEN,17.700000000000003,A.Janovich,RB,33.61436925336084
DEN,49.8,D.Booker,RB,67.55957204878374
JAX,1.4000000000000001,J.Charles,RB,72.23360231187188
LA,62.400000000000006,C.Anderson,RB,77.37542236530885
NYJ,-0.09999999999999987,D.Henderson,RB,10.477360376169035
BUF,34.5,I.McKenzie,WR,17.02824987819195
HOU,97.7,De.Thomas,WR,106.36798782519952
MIA,49.275,B.Osweiler,QB,38.0594112661789
LAC,27.0,V.Green,TE,24.073717860379546
NYG,7.6000000000000005,C.Coleman,WR,42.24845218122544
JAX,28.025000000000006,C.Kessler,QB,3.6363885310591257
NYJ,119.7,I.Crowell,RB,59.327461839946835
NE,97.7,J.Gordon,WR,69.49940055429684
CLE,85.0,D.Johnson,RB,87.17688922025488
CLE,79.2,R.Higgins,WR,50.28755380451118
CLE,13.4,S.DeValve,TE,49.41997601799123
CLE,87.9,D.Njoku,TE,54.71638666845671
