Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Chicago Bears,16,16,28,,,1,5,,50,4,5,,42,45,23,30,1,421,26.3
2,Baltimore Ravens,16,19,18,1,,3,,,41,1,4,,36,37,35,39,,389,24.3
3,Tennessee Titans,16,15,16,,1,,2,,34,,1,,28,31,26,30,,310,19.4
4,Jacksonville Jaguars,16,7,15,1,,,2,,25,,2,,22,23,23,26,2,245,15.3
5,Houston Texans,16,12,26,,,1,3,,42,,1,,39,41,37,42,,402,25.1
6,Dallas Cowboys,16,13,22,,,1,,,36,2,2,,32,33,29,36,,339,21.2
7,New England Patriots,16,18,29,,1,1,1,1,51,,1,,49,50,27,32,,436,27.3
8,Los Angeles Chargers,16,16,32,1,,1,1,,51,6,8,1,36,43,24,29,,426,26.8
9,Minnesota Vikings,16,9,30,,,2,1,,42,3,5,,36,37,22,32,,360,22.5
10,Indianapolis Colts,16,13,39,,,,,,52,4,5,,44,47,23,27,,433,27.1
11,Seattle Seahawks,16,15,35,,,1,1,,52,1,1,,48,51,22,27,,428,26.8
12,Philadelphia Eagles,16,12,29,,,,,,41,5,6,,33,35,26,31,,367,22.9
13,Denver Broncos,16,18,19,,,,2,,39,,4,,35,35,20,25,,329,20.6
14,New Orleans Saints,16,26,33,,,,1,,60,4,5,,52,53,28,30,,504,31.5
15,Washington Redskins,16,12,16,,,1,,,29,2,3,,25,26,26,29,,281,17.6
16,Pittsburgh Steelers,16,16,35,,,1,2,,54,4,5,,44,49,16,23,2,428,26.8
17,Detroit Lions,16,11,22,,,,2,,35,,5,,30,30,28,32,,324,20.3
18,Buffalo Bills,16,15,13,,,1,,,29,1,3,,25,26,22,28,1,269,16.8
19,Carolina Panthers,16,17,28,,,1,,,46,2,5,1,37,41,19,21,,374,23.5
20,Los Angeles Rams,16,23,32,,,1,3,1,60,5,7,,51,53,34,41,2,527,32.9
21,Cleveland Browns,16,15,29,,,,,,44,4,10,,28,34,19,25,1,359,22.4
22,Green Bay Packers,16,14,25,,,,1,1,41,3,4,,34,36,30,37,,376,23.5
23,New York Giants,16,13,23,,,,3,,39,4,7,,31,32,32,33,,369,23.1
24,Kansas City Chiefs,16,16,50,1,,1,3,,71,1,2,,65,69,24,27,,565,35.3
25,Atlanta Falcons,16,11,36,,,1,1,,49,2,6,,41,43,25,26,,414,25.9
26,Arizona Cardinals,16,9,15,,,2,,1,27,2,3,,23,24,12,17,,225,14.1
27,Miami Dolphins,16,7,26,1,1,,3,,38,1,1,,35,36,18,20,,319,19.9
28,San Francisco 49ers,16,7,26,,1,,1,,35,2,6,,27,29,33,34,1,342,21.4
29,New York Jets,16,11,18,1,1,,3,,34,,1,,30,33,33,36,,333,20.8
30,Cincinnati Bengals,16,13,27,,,2,3,,45,1,4,,39,41,19,23,,368,23.0
31,Tampa Bay Buccaneers,16,11,36,,,2,,,49,1,5,,40,44,20,27,,396,24.8
32,Oakland Raiders,16,9,19,1,,,1,,30,1,2,,27,28,27,32,,290,18.1
