"","Season","Player","Team","Pos","name","GSIS_ID"
"1",2016,"A.J. Derby","DEN","TE","A.Derby","00-0031609"
"2",2016,"A.J. Green","CIN","WR","A.Green","00-0027942"
"3",2016,"Aaron Burbridge","SF","WR","A.Burbridge","00-0032441"
"4",2016,"Aaron Ripkowski","GB","FB","A.Ripkowski","00-0031612"
"5",2016,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
"6",2016,"Adam Humphries","TB","WR","A.Humphries","00-0032009"
"7",2016,"Adam Thielen","MIN","WR","A.Thielen","00-0030035"
"8",2016,"Adam Vinatieri","IND","K","A.Vinatieri","00-0016919"
"9",2016,"Adrian Peterson","MIN","RB","A.Peterson","00-0025394"
"10",2016,"Akeem Hunt","HOU","RB","A.Hunt","00-0031743"
"11",2016,"Albert Wilson","KC","WR","A.Wilson","00-0030669"
"12",2016,"Aldrick Robinson","ATL","WR","A.Robinson","00-0028116"
"13",2016,"Alex Collins","SEA","RB","A.Collins","00-0032426"
"14",2016,"Alex Ellis","JAX","TE","A.Ellis","00-0032864"
"15",2016,"Alex Erickson","CIN","WR","A.Erickson","00-0032543"
"16",2016,"Alex Smith","KC","QB","A.Smith","00-0023436"
"17",2016,"Alfred Blue","HOU","RB","A.Blue","00-0031075"
"18",2016,"Alfred Morris","DAL","RB","A.Morris","00-0029141"
"19",2016,"Allen Hurns","JAX","WR","A.Hurns","00-0030821"
"20",2016,"Allen Robinson","JAX","WR","A.Robinson","00-0031428"
"21",2016,"Alshon Jeffery","CHI","WR","A.Jeffery","00-0029137"
"22",2016,"Amari Cooper","OAK","WR","A.Cooper","00-0031544"
"23",2016,"Ameer Abdullah","DET","RB","A.Abdullah","00-0032104"
"24",2016,"Andre Ellington","ARI","RB","A.Ellington","00-0030287"
"25",2016,"Andre Holmes","OAK","WR","A.Holmes","00-0028263"
"26",2016,"Andre Johnson","TEN","WR","A.Johnson","00-0022044"
"27",2016,"Andre Roberts","DET","WR","A.Roberts","00-0027691"
"28",2016,"Andrew Franks","MIA","K","A.Franks","00-0031718"
"29",2016,"Andrew Hawkins","CLE","WR","A.Hawkins","00-0027918"
"30",2016,"Andrew Luck","IND","QB","A.Luck","00-0029668"
"31",2016,"Andy Dalton","CIN","QB","A.Dalton","00-0027973"
"32",2016,"Andy Janovich","DEN","FB","A.Janovich","00-0032956"
"33",2016,"Anquan Boldin","DET","WR","A.Boldin","00-0022084"
"34",2016,"Anthony Fasano","TEN","TE","A.Fasano","00-0024268"
"35",2016,"Antone Smith","TB","RB","A.Smith","00-0026855"
"36",2016,"Antonio Andrews","TEN","RB","A.Andrews","00-0030789"
"37",2016,"Antonio Brown","PIT","WR","A.Brown","00-0027793"
"38",2016,"Arian Foster","MIA","RB","A.Foster","00-0026796"
"39",2016,"Arrelious Benn","JAX","WR","A.Benn","00-0027654"
"40",2016,"Austin Hooper","ATL","TE","A.Hooper","00-0032392"
"41",2016,"Austin Seferian-Jenkins","NYJ","TE","A.Seferian-Jenkins","00-0031418"
"42",2016,"Ben Braunecker","CHI","TE","B.Braunecker","00-0032661"
"43",2016,"Ben Koyack","JAX","TE","B.Koyack","00-0032139"
"44",2016,"Ben Roethlisberger","PIT","QB","B.Roethlisberger","00-0022924"
"45",2016,"Bennie Fowler","DEN","WR","B.Fowler","00-0030670"
"46",2016,"Benny Cunningham","LA","RB","B.Cunningham","00-0029795"
"47",2016,"Bilal Powell","NYJ","RB","B.Powell","00-0028064"
"48",2016,"Blaine Gabbert","SF","QB","B.Gabbert","00-0027948"
"49",2016,"Blair Walsh","MIN","K","B.Walsh","00-0029576"
"50",2016,"Blake Bell","SF","TE","B.Bell","00-0032062"
"51",2016,"Blake Bortles","JAX","QB","B.Bortles","00-0031407"
"52",2016,"Bobby Rainey","NYG","RB","B.Rainey","00-0029384"
"53",2016,"Bradley Marquez","LA","WR","B.Marquez","00-0031818"
"54",2016,"Braedon Bowman","NYJ","TE","B.Bowman","00-0032515"
"55",2016,"Bralon Addison","CHI","WR","B.Addison","00-0032482"
"56",2016,"Brandin Cooks","NO","WR","B.Cooks","00-0031236"
"57",2016,"Brandon Bolden","NE","RB","B.Bolden","00-0029239"
"58",2016,"Brandon Bostick","NYJ","TE","B.Bostick","00-0029601"
"59",2016,"Brandon Burks","NYJ","RB","B.Burks","00-0032844"
"60",2016,"Brandon Coleman","NO","WR","B.Coleman","00-0030801"
"61",2016,"Brandon LaFell","CIN","WR","B.LaFell","00-0027681"
"62",2016,"Brandon Marshall","NYJ","WR","B.Marshall","00-0024334"
"63",2016,"Brandon McManus","DEN","K","B.McManus","00-0029822"
"64",2016,"Brandon Myers","TB","TE","B.Myers","00-0027135"
"65",2016,"Brandon Tate","BUF","WR","B.Tate","00-0027057"
"66",2016,"Brandon Wilds","NYJ","RB","B.Wilds","00-0032593"
"67",2016,"Brandon Williams","SEA","TE","B.Williams","00-0029793"
"68",2016,"Braxton Miller","HOU","WR","B.Miller","00-0033069"
"69",2016,"Brent Celek","PHI","TE","B.Celek","00-0025549"
"70",2016,"Brenton Bersin","CAR","WR","B.Bersin","00-0029394"
"71",2016,"Breshad Perriman","BAL","WR","B.Perriman","00-0032054"
"72",2016,"Brett Hundley","GB","QB","B.Hundley","00-0031589"
"73",2016,"Brian Hoyer","CHI","QB","B.Hoyer","00-0026625"
"74",2016,"Brian Quick","LA","WR","B.Quick","00-0029640"
"75",2016,"Brice Butler","DAL","WR","B.Butler","00-0030516"
"76",2016,"Brittan Golden","ARI","WR","B.Golden","00-0029336"
"77",2016,"Brock Osweiler","HOU","QB","B.Osweiler","00-0029682"
"78",2016,"Bronson Hill","JAX","RB","B.Hill","00-0032298"
"79",2016,"Bryan Walters","JAX","WR","B.Walters","00-0027595"
"80",2016,"Bryce Petty","NYJ","QB","B.Petty","00-0031568"
"81",2016,"Bryce Treggs","PHI","WR","B.Treggs","00-0032724"
"82",2016,"Byron Marshall","PHI","WR","B.Marshall","00-0032964"
"83",2016,"C.J. Anderson","DEN","RB","C.Anderson","00-0029854"
"84",2016,"C.J. Fiedorowicz","HOU","TE","C.Fiedorowicz","00-0031302"
"85",2016,"C.J. Prosise","SEA","RB","C.Prosise","00-0032393"
"86",2016,"C.J. Spiller","NYJ","RB","C.Spiller","00-0027861"
"87",2016,"C.J. Uzomah","CIN","TE","C.Uzomah","00-0032134"
"88",2016,"Cairo Santos","KC","K","C.Santos","00-0031203"
"89",2016,"Caleb Sturgis","PHI","K","C.Sturgis","00-0030390"
"90",2016,"Cam Newton","CAR","QB","C.Newton","00-0027939"
"91",2016,"Cameron Artis-Payne","CAR","RB","C.Artis-Payne","00-0031599"
"92",2016,"Cameron Brate","TB","TE","C.Brate","00-0031273"
"93",2016,"Cameron Meredith","CHI","WR","C.Meredith","00-0031912"
"94",2016,"Cardale Jones","BUF","QB","C.Jones","00-0033098"
"95",2016,"Carlos Hyde","SF","RB","C.Hyde","00-0031045"
"96",2016,"Carson Palmer","ARI","QB","C.Palmer","00-0021429"
"97",2016,"Carson Wentz","PHI","QB","C.Wentz","00-0032950"
"98",2016,"Case Keenum","LA","QB","C.Keenum","00-0028986"
"99",2016,"Cecil Shorts","TB","WR","C.Shorts","00-0028052"
"100",2016,"Cedric Peerman","CIN","RB","C.Peerman","00-0026932"
"101",2016,"Chandler Catanzaro","ARI","K","C.Catanzaro","00-0030896"
"102",2016,"Charcandrick West","KC","RB","C.West","00-0030668"
"103",2016,"Charles Clay","BUF","TE","C.Clay","00-0028112"
"104",2016,"Charles D. Johnson","MIN","WR","C.Johnson","00-0030113"
"105",2016,"Charles Sims","TB","RB","C.Sims","00-0031390"
"106",2016,"Charlie Whitehurst","CLE","QB","C.Whitehurst","00-0024296"
"107",2016,"Charone Peake","NYJ","WR","C.Peake","00-0032959"
"108",2016,"Chase Daniel","PHI","QB","C.Daniel","00-0026544"
"109",2016,"Chester Rogers","IND","WR","C.Rogers","00-0032355"
"110",2016,"Chris Boswell","PIT","K","C.Boswell","00-0031136"
"111",2016,"Chris Conley","KC","WR","C.Conley","00-0032128"
"112",2016,"Chris Harper","SF","WR","C.Harper","00-0031854"
"113",2016,"Chris Hogan","NE","WR","C.Hogan","00-0028237"
"114",2016,"Chris Ivory","JAX","RB","C.Ivory","00-0027531"
"115",2016,"Chris Johnson","ARI","RB","C.Johnson","00-0026164"
"116",2016,"Chris Manhertz","CAR","TE","C.Manhertz","00-0031484"
"117",2016,"Chris Moore","BAL","WR","C.Moore","00-0032398"
"118",2016,"Chris Thompson","WAS","RB","C.Thompson","00-0030404"
"119",2016,"Christine Michael","GB","RB","C.Michael","00-0030432"
"120",2016,"Clay Harbor","DET","TE","C.Harbor","00-0027725"
"121",2016,"Clive Walford","OAK","TE","C.Walford","00-0032256"
"122",2016,"Cobi Hamilton","PIT","WR","C.Hamilton","00-0030290"
"123",2016,"Coby Fleener","NO","TE","C.Fleener","00-0029697"
"124",2016,"Cody Core","CIN","WR","C.Core","00-0032795"
"125",2016,"Cody Kessler","CLE","QB","C.Kessler","00-0033104"
"126",2016,"Cody Latimer","DEN","WR","C.Latimer","00-0031344"
"127",2016,"Cody Parkey","CLE","K","C.Parkey","00-0030850"
"128",2016,"Cole Beasley","DAL","WR","C.Beasley","00-0029000"
"129",2016,"Cole Wick","DET","TE","C.Wick","00-0032562"
"130",2016,"Colin Kaepernick","SF","QB","C.Kaepernick","00-0027974"
"131",2016,"Connor Barth","CHI","K","C.Barth","00-0026138"
"132",2016,"Connor Cook","OAK","QB","C.Cook","00-0032893"
"133",2016,"Connor Hamlett","CLE","TE","C.Hamlett","00-0031732"
"134",2016,"Cordarrelle Patterson","MIN","WR","C.Patterson","00-0030578"
"135",2016,"Corey Brown","CAR","WR","C.Brown","00-0031118"
"136",2016,"Corey Coleman","CLE","WR","C.Coleman","00-0032966"
"137",2016,"Corey Grant","JAX","RB","C.Grant","00-0031731"
"138",2016,"Crockett Gillmore","BAL","TE","C.Gillmore","00-0030992"
"139",2016,"D.J. Foster","NE","RB","D.Foster","00-0032577"
"140",2016,"D.J. Tialavea","ATL","TE","D.Tialavea","00-0030828"
"141",2016,"Dak Prescott","DAL","QB","D.Prescott","00-0033077"
"142",2016,"Damien Williams","MIA","RB","D.Williams","00-0030874"
"143",2016,"Damiere Byrd","CAR","WR","D.Byrd","00-0031868"
"144",2016,"Dan Bailey","DAL","K","D.Bailey","00-0028660"
"145",2016,"Dan Carpenter","BUF","K","D.Carpenter","00-0026003"
"146",2016,"Daniel Braverman","CHI","WR","D.Braverman","00-0032801"
"147",2016,"Daniel Brown","CHI","TE","D.Brown","00-0032098"
"148",2016,"Daniel Lasco","NO","RB","D.Lasco","00-0032804"
"149",2016,"Danny Amendola","NE","WR","D.Amendola","00-0026035"
"150",2016,"Darren Fells","ARI","TE","D.Fells","00-0029738"
"151",2016,"Darren McFadden","DAL","RB","D.McFadden","00-0026144"
"152",2016,"Darren Sproles","PHI","RB","D.Sproles","00-0023564"
"153",2016,"Darren Waller","BAL","TE","D.Waller","00-0031610"
"154",2016,"Darrius Heyward-Bey","PIT","WR","D.Heyward-Bey","00-0026983"
"155",2016,"Davante Adams","GB","WR","D.Adams","00-0031381"
"156",2016,"David Fales","CHI","QB","D.Fales","00-0031076"
"157",2016,"David Johnson","ARI","RB","D.Johnson","00-0032187"
"158",2016,"David Johnson","PIT","TE","D.Johnson","00-0026957"
"159",2016,"David Morgan","MIN","TE","D.Morgan","00-0032430"
"160",2016,"De'Anthony Thomas","KC","WR","D.Thomas","00-0031060"
"161",2016,"DeAndre Hopkins","HOU","WR","D.Hopkins","00-0030564"
"162",2016,"DeAndre Smelter","SF","WR","D.Smelter","00-0032064"
"163",2016,"DeAndre Washington","OAK","RB","D.Washington","00-0032940"
"164",2016,"DeAngelo Williams","PIT","RB","D.Williams","00-0024242"
"165",2016,"Delanie Walker","TEN","TE","D.Walker","00-0024389"
"166",2016,"DeMarco Murray","TEN","RB","D.Murray","00-0028009"
"167",2016,"DeMarcus Ayers","PIT","WR","D.Ayers","00-0032365"
"168",2016,"Demaryius Thomas","DEN","WR","D.Thomas","00-0027874"
"169",2016,"Demetrius Harris","KC","TE","D.Harris","00-0030155"
"170",2016,"Denard Robinson","JAX","RB","D.Robinson","00-0030547"
"171",2016,"Dennis Pitta","BAL","TE","D.Pitta","00-0027714"
"172",2016,"Deonte Thompson","CHI","WR","D.Thompson","00-0029388"
"173",2016,"Derek Anderson","CAR","QB","D.Anderson","00-0023645"
"174",2016,"Derek Carr","OAK","QB","D.Carr","00-0031280"
"175",2016,"Derek Carrier","WAS","TE","D.Carrier","00-0029119"
"176",2016,"Derrick Henry","TEN","RB","D.Henry","00-0032764"
"177",2016,"DeSean Jackson","WAS","WR","D.Jackson","00-0026189"
"178",2016,"DeVante Parker","MIA","WR","D.Parker","00-0031547"
"179",2016,"Devin Funchess","CAR","WR","D.Funchess","00-0032055"
"180",2016,"Devin Smith","NYJ","WR","D.Smith","00-0031934"
"181",2016,"Devin Street","IND","WR","D.Street","00-0031310"
"182",2016,"Devonta Freeman","ATL","RB","D.Freeman","00-0031285"
"183",2016,"Devontae Booker","DEN","RB","D.Booker","00-0032972"
"184",2016,"Dez Bryant","DAL","WR","D.Bryant","00-0027902"
"185",2016,"Dezmin Lewis","BUF","WR","D.Lewis","00-0032070"
"186",2016,"Dion Lewis","NE","RB","D.Lewis","00-0028087"
"187",2016,"Dion Sims","MIA","TE","D.Sims","00-0030422"
"188",2016,"Dominique Jones","MIA","TE","D.Jones","00-0028994"
"189",2016,"Don Jackson","GB","RB","D.Jackson","00-0032636"
"190",2016,"Donte Moncrief","IND","WR","D.Moncrief","00-0031339"
"191",2016,"Dorial Green-Beckham","PHI","WR","D.Green-Beckham","00-0032218"
"192",2016,"Doug Baldwin","SEA","WR","D.Baldwin","00-0028434"
"193",2016,"Doug Martin","TB","RB","D.Martin","00-0029613"
"194",2016,"Drew Brees","NO","QB","D.Brees","00-0020531"
"195",2016,"Drew Stanton","ARI","QB","D.Stanton","00-0025430"
"196",2016,"DuJuan Harris","SF","RB","D.Harris","00-0028409"
"197",2016,"Duke Johnson","CLE","RB","D.Johnson","00-0032257"
"198",2016,"Dustin Hopkins","WAS","K","D.Hopkins","00-0030098"
"199",2016,"Dwayne Allen","IND","TE","D.Allen","00-0029689"
"200",2016,"Dwayne Harris","NYG","WR","D.Harris","00-0028114"
"201",2016,"Dwayne Washington","DET","RB","D.Washington","00-0032450"
"202",2016,"Ed Dickson","CAR","TE","E.Dickson","00-0027675"
"203",2016,"Eddie Lacy","GB","RB","E.Lacy","00-0030485"
"204",2016,"Eddie Royal","CHI","WR","E.Royal","00-0026182"
"205",2016,"EJ Manuel","BUF","QB","E.Manuel","00-0030526"
"206",2016,"Eli Manning","NYG","QB","E.Manning","00-0022803"
"207",2016,"Eli Rogers","PIT","WR","E.Rogers","00-0031782"
"208",2016,"Emmanuel Sanders","DEN","WR","E.Sanders","00-0027685"
"209",2016,"Eric Decker","NYJ","WR","E.Decker","00-0027690"
"210",2016,"Eric Ebron","DET","TE","E.Ebron","00-0031387"
"211",2016,"Erik Swoope","IND","TE","E.Swoope","00-0030854"
"212",2016,"Ezekiel Elliott","DAL","RB","E.Elliott","00-0033045"
"213",2016,"Fitzgerald Toussaint","PIT","RB","F.Toussaint","00-0031332"
"214",2016,"Fozzy Whittaker","CAR","RB","F.Whittaker","00-0029731"
"215",2016,"Frank Gore","IND","RB","F.Gore","00-0023500"
"216",2016,"Freddie Martino","TB","WR","F.Martino","00-0030737"
"217",2016,"Garrett Celek","SF","TE","G.Celek","00-0028903"
"218",2016,"Gary Barnidge","CLE","TE","G.Barnidge","00-0026281"
"219",2016,"Gavin Escobar","DAL","TE","G.Escobar","00-0030544"
"220",2016,"Geno Smith","NYJ","QB","G.Smith","00-0030565"
"221",2016,"Geoff Swaim","DAL","TE","G.Swaim","00-0032141"
"222",2016,"George Atkinson","CLE","RB","G.Atkinson","00-0031158"
"223",2016,"George Farmer","SEA","RB","G.Farmer","00-0031746"
"224",2016,"Gerald Christian","BUF","TE","G.Christian","00-0032190"
"225",2016,"Geronimo Allison","GB","WR","G.Allison","00-0032626"
"226",2016,"Giovani Bernard","CIN","RB","G.Bernard","00-0030456"
"227",2016,"Golden Tate","DET","WR","G.Tate","00-0027891"
"228",2016,"Graham Gano","CAR","K","G.Gano","00-0026858"
"229",2016,"Greg Olsen","CAR","TE","G.Olsen","00-0025418"
"230",2016,"Greg Salas","BUF","WR","G.Salas","00-0028050"
"231",2016,"Greg Zuerlein","LA","K","G.Zuerlein","00-0029621"
"232",2016,"Hakeem Valles","ARI","TE","H.Valles","00-0032508"
"233",2016,"Harry Douglas","TEN","WR","H.Douglas","00-0026224"
"234",2016,"Henry Krieger-Coble","DEN","TE","H.Krieger-Coble","00-0032523"
"235",2016,"Ifeanyi Momah","ARI","TE","I.Momah","00-0029740"
"236",2016,"Isaac Fruechte","MIN","WR","I.Fruechte","00-0032012"
"237",2016,"Isaiah Crowell","CLE","RB","I.Crowell","00-0030656"
"238",2016,"Isaiah Pead","MIA","RB","I.Pead","00-0029626"
"239",2016,"J.D. McKissic","SEA","RB","J.McKissic","00-0032602"
"240",2016,"J.J. Nelson","ARI","WR","J.Nelson","00-0032112"
"241",2016,"Jace Amaro","TEN","TE","J.Amaro","00-0031042"
"242",2016,"Jack Doyle","IND","TE","J.Doyle","00-0030181"
"243",2016,"Jacob Tamme","ATL","TE","J.Tamme","00-0026267"
"244",2016,"Jacoby Brissett","NE","QB","J.Brissett","00-0033119"
"245",2016,"Jacquizz Rodgers","TB","RB","J.Rodgers","00-0028083"
"246",2016,"Jaelen Strong","HOU","WR","J.Strong","00-0031560"
"247",2016,"Jakeem Grant","MIA","WR","J.Grant","00-0032791"
"248",2016,"Jalen Richard","OAK","RB","J.Richard","00-0033025"
"249",2016,"Jalin Marshall","NYJ","WR","J.Marshall","00-0032694"
"250",2016,"Jalston Fowler","TEN","FB","J.Fowler","00-0032130"
"251",2016,"Jamaal Charles","KC","RB","J.Charles","00-0026213"
"252",2016,"Jameis Winston","TB","QB","J.Winston","00-0031503"
"253",2016,"James O'Shaughnessy","KC","TE","J.O'Shaughnessy","00-0031951"
"254",2016,"James Starks","GB","RB","J.Starks","00-0027791"
"255",2016,"James White","NE","RB","J.White","00-0031062"
"256",2016,"James Wright","CIN","WR","J.Wright","00-0031291"
"257",2016,"Jamison Crowder","WAS","WR","J.Crowder","00-0031941"
"258",2016,"Jamize Olawale","OAK","FB","J.Olawale","00-0029492"
"259",2016,"Jared Abbrederis","GB","WR","J.Abbrederis","00-0031021"
"260",2016,"Jared Cook","GB","TE","J.Cook","00-0027061"
"261",2016,"Jared Goff","LA","QB","J.Goff","00-0033106"
"262",2016,"Jarius Wright","MIN","WR","J.Wright","00-0029572"
"263",2016,"Jaron Brown","ARI","WR","J.Brown","00-0030300"
"264",2016,"Jarvis Landry","MIA","WR","J.Landry","00-0031382"
"265",2016,"Jason Myers","JAX","K","J.Myers","00-0031492"
"266",2016,"Jason Witten","DAL","TE","J.Witten","00-0022127"
"267",2016,"Javorius Allen","BAL","RB","J.Allen","00-0031577"
"268",2016,"Jay Ajayi","MIA","RB","J.Ajayi","00-0031590"
"269",2016,"Jay Cutler","CHI","QB","J.Cutler","00-0024226"
"270",2016,"Jay Prosch","HOU","FB","J.Prosch","00-0031085"
"271",2016,"Je'Ron Hamm","SF","TE","J.Hamm","00-0030805"
"272",2016,"Jeff Heuerman","DEN","TE","J.Heuerman","00-0032227"
