,Team,name,pos_keep,predicted_points
3290,LAC,V.Green,TE,18.01656150817871
3291,NYG,C.Coleman,WR,14.987204551696777
3292,JAX,C.Kessler,QB,26.19019317626953
3293,NYJ,I.Crowell,RB,59.82960891723633
3294,NE,J.Gordon,WR,78.23512268066406
3295,CLE,D.Johnson,RB,69.34812927246094
3296,CLE,R.Higgins,WR,37.21126174926758
3297,CLE,S.DeValve,TE,25.00641632080078
3298,CLE,D.Njoku,TE,30.089229583740234
3299,GB,D.Kizer,QB,35.41189193725586
3300,HOU,S.Coates,WR,10.848483085632324
3301,SF,M.Dayes,RB,1.856540560722351
3302,NYG,E.Manning,QB,100.67156982421875
3303,NYG,R.Ellison,TE,20.116666793823242
3304,NYG,O.Beckham,WR,124.9472427368164
3305,NYG,S.Shepard,WR,57.1564826965332
3306,NYG,E.Engram,TE,47.540409088134766
3307,NYG,W.Gallman,RB,13.906768798828125
3308,SEA,B.Marshall,WR,84.63639831542969
3309,OAK,D.Harris,WR,15.199394226074219
3310,LAC,G.Smith,QB,27.892324447631836
3311,SEA,D.Baldwin,WR,80.55995178222656
3312,SEA,R.Wilson,QB,170.61412048339844
3313,SEA,M.Davis,RB,35.44934844970703
3314,SEA,T.Lockett,WR,59.54300308227539
3315,SEA,C.Prosise,RB,15.09798812866211
3316,SEA,N.Vannett,TE,10.422554969787598
3317,SEA,J.McKissic,RB,9.909350395202637
3318,SEA,T.Madden,RB,8.523771286010742
3319,SEA,C.Carson,RB,42.34355926513672
3320,WAS,P.Richardson,WR,37.052459716796875
3321,DET,L.Willson,TE,20.966922760009766
3322,GB,J.Graham,TE,99.01446533203125
3323,TEN,D.Walker,TE,84.08384704589844
3324,TEN,L.Stocker,TE,19.46262550354004
3325,TEN,M.Mariota,QB,121.05692291259766
3326,TEN,D.Henry,RB,91.54141235351562
3327,TEN,D.Fluellen,RB,6.124068737030029
3328,TEN,J.Smith,TE,17.656532287597656
3329,TEN,C.Davis,WR,25.94485855102539
3330,TEN,T.Taylor,WR,21.301206588745117
3331,DET,M.Cassel,QB,31.56806755065918
3332,NYJ,R.Matthews,WR,57.63528823852539
3333,TEN,D.Lewis,RB,89.8552474975586
3334,NO,M.Gillislee,RB,78.1231689453125
3335,LA,B.Cooks,WR,70.5537109375
3336,NE,T.Brady,QB,158.0457305908203
3337,NE,B.Hoyer,QB,5.537389755249023
3338,NE,R.Gronkowski,TE,129.85536193847656
3339,NE,D.Allen,TE,44.94731140136719
3340,NE,J.Develin,RB,8.416765213012695
3341,NE,C.Hogan,WR,54.93773651123047
3342,NE,R.Burkhead,RB,53.81236267089844
3343,NE,J.White,RB,65.17111206054688
3344,NE,P.Dorsett,WR,35.72016525268555
3345,NE,J.Hollister,TE,7.790053367614746
3346,MIA,D.Amendola,WR,56.526702880859375
3347,MIA,B.Bolden,RB,27.306066513061523
3348,WAS,V.Davis,TE,75.6397705078125
3349,WAS,B.Quick,WR,19.184326171875
3350,WAS,C.Thompson,RB,53.66282653808594
3351,WAS,J.Reed,TE,42.845741271972656
3352,WAS,J.Crowder,WR,59.43174743652344
3353,WAS,M.Harris,WR,15.290830612182617
3354,WAS,R.Kelley,RB,19.91635513305664
3355,WAS,J.Doctson,WR,29.106910705566406
3356,WAS,B.Marshall,RB,8.602579116821289
3357,WAS,S.Perine,RB,18.250349044799805
3358,WAS,J.Sprinkle,TE,8.350905418395996
3359,JAX,N.Paul,TE,23.535070419311523
3360,MIN,K.Cousins,QB,161.8534698486328
3361,IND,R.Grant,WR,23.680879592895508
3362,GB,K.Bibbs,RB,18.398889541625977
3363,BUF,T.Pryor,WR,51.784141540527344
3364,WAS,A.Smith,QB,188.02651977539062
3365,WAS,J.Chesson,WR,2.2580204010009766
3366,KC,A.Sherman,RB,7.891251087188721
3367,KC,D.Harris,TE,25.07850456237793
3368,KC,T.Kelce,TE,80.74766540527344
3369,KC,D.Thomas,WR,23.458101272583008
3370,KC,C.West,RB,40.622005462646484
3371,KC,C.Conley,WR,34.973514556884766
3372,KC,T.Hill,WR,87.51826477050781
3373,KC,D.Robinson,WR,13.65814208984375
3374,KC,P.Mahomes,QB,70.00169372558594
3375,KC,K.Hunt,RB,98.4648208618164
3376,CLE,O.Charles,TE,8.324724197387695
3377,MIA,A.Wilson,WR,49.37985610961914
3378,CAR,T.Cadet,RB,20.4176082611084
3379,DEN,A.Holmes,WR,50.27263259887695
3380,NO,B.Tate,WR,21.617456436157227
3381,KC,K.Benjamin,WR,68.91252136230469
3382,CLE,T.Taylor,QB,153.47607421875
3383,PHI,J.Matthews,WR,36.355777740478516
3384,BUF,L.McCoy,RB,178.6342010498047
3385,BUF,T.Jones,RB,8.461629867553711
3386,BUF,C.Clay,TE,57.87547302246094
3387,BUF,D.Thompson,WR,24.80528450012207
3388,BUF,P.DiMarco,RB,14.241841316223145
3389,BUF,L.Thomas,TE,15.884167671203613
3390,BUF,M.Murphy,RB,14.80893325805664
3391,BUF,Z.Jones,WR,34.65198516845703
3392,BUF,N.Peterman,QB,16.245441436767578
3393,HOU,J.Webb,QB,9.728431701660156
3394,MIA,N.O'Leary,TE,20.81532859802246
3395,CAR,T.Smith,WR,36.82292175292969
3396,CAR,K.Barner,RB,9.154656410217285
3397,CHI,T.Burton,TE,22.031267166137695
3398,DET,L.Blount,RB,48.571468353271484
3399,IND,M.Johnson,WR,18.911231994628906
3400,PHI,D.Sproles,RB,99.5279312133789
3401,PHI,A.Jeffery,WR,77.09184265136719
3402,PHI,N.Foles,QB,54.296016693115234
3403,PHI,Z.Ertz,TE,71.54685974121094
3404,PHI,N.Agholor,WR,58.717647552490234
3405,PHI,J.Ajayi,RB,59.190574645996094
3406,PHI,W.Smallwood,RB,51.272911071777344
3407,PHI,C.Wentz,QB,85.05888366699219
3408,PHI,N.Sudfeld,QB,8.61691951751709
3409,PHI,S.Gibson,WR,5.837335586547852
3410,PHI,C.Clement,RB,40.35224151611328
3411,CAR,T.Heinicke,QB,5.596761703491211
3412,DET,B.Ellington,WR,22.033262252807617
3413,HOU,L.Miller,RB,85.67498016357422
3414,HOU,R.Griffin,TE,17.98491859436035
3415,HOU,D.Hopkins,WR,120.40988159179688
3416,HOU,A.Blue,RB,29.152099609375
3417,HOU,T.Ervin,RB,5.692896842956543
3418,HOU,W.Fuller,WR,68.11454772949219
3419,HOU,D.Watson,QB,128.45913696289062
3420,HOU,D.Foreman,RB,51.00218963623047
3421,JAX,T.Bohanon,RB,5.734499454498291
3422,JAX,B.Bortles,QB,156.25303649902344
3423,JAX,C.Grant,RB,18.707876205444336
3424,JAX,J.O'Shaughnessy,TE,8.974191665649414
3425,JAX,T.Yeldon,RB,54.2113037109375
3426,JAX,J.Mickens,WR,24.718481063842773
3427,JAX,K.Cole,WR,34.911773681640625
3428,JAX,D.Westbrook,WR,37.36272430419922
3429,JAX,L.Fournette,RB,61.671993255615234
3430,CHI,A.Robinson II,WR,41.61240005493164
3431,DAL,A.Hurns,WR,40.17982482910156
3432,KC,C.Henne,QB,49.14077377319336
3433,GB,M.Lewis,TE,46.395870208740234
3434,BUF,C.Ivory,RB,68.58905792236328
3435,JAX,A.Seferian-Jenkins,TE,35.85844802856445
3436,LA,J.Natson,WR,3.186497926712036
3437,NYJ,J.McCown,QB,104.41450500488281
3438,NYJ,B.Powell,RB,64.478515625
3439,NYJ,J.Kearse,WR,53.957847595214844
3440,NYJ,N.Sterling,TE,13.522714614868164
3441,NYJ,R.Anderson,WR,67.885498046875
3442,NYJ,C.Peake,WR,7.898414134979248
3443,NYJ,E.Tomlinson,TE,11.975103378295898
3444,NYJ,E.McGuire,RB,48.34639358520508
3445,BUF,J.Kerley,WR,33.160423278808594
3446,JAX,D.Moncrief,WR,30.128604888916016
