abs_value,name,value
0.06946997404268403,td_rush_per_att,0.06946997404268403
0.05670328597654382,rush_per_att,0.05670328597654382
0.036126479925826585,28_34pts,0.036126479925826585
0.03479248502899523,pass_per_att,0.03479248502899523
0.03246805672331692,exp,0.03246805672331692
0.029645488871121645,YA399,0.029645488871121645
0.026743089816456792,td_pass_per_att,0.026743089816456792
0.025980631369597062,kickret.avg,0.025980631369597062
0.025705829884991305,Sacks,0.025705829884991305
0.025077139545114865,kickret.avg_past_sched,0.025077139545114865
0.024973804949183744,TD,0.024973804949183744
0.024922794306107353,puntret.avg,0.024922794306107353
0.02396498369003221,pass.att,0.02396498369003221
0.023611944636090402,turnovers,0.023611944636090402
0.021280623209972496,pass.att_past_sched,0.021280623209972496
0.019957873043065226,puntret.avg_past_sched,0.019957873043065226
0.019418425742435606,pass_per_comp,0.019418425742435606
0.01875384364679135,YA199,0.01875384364679135
0.018184950591102214,punt.rets_past_sched,0.018184950591102214
0.017524307639084174,YA299,0.017524307639084174
0.017118149729804407,rushtds,0.017118149729804407
0.0170412422326907,rush.att,0.0170412422326907
0.016957168858798957,rec_per_att,0.016957168858798957
0.016896083754851382,punt.rets,0.016896083754851382
0.01673544238932539,rushtds_past_sched,0.01673544238932539
0.015583146668055034,rushyds,0.015583146668055034
0.015021356804408604,7_13pts,0.015021356804408604
0.014667532236538676,rush.att_past_sched,0.014667532236538676
0.01460844531116407,YA349,0.01460844531116407
0.014495538567213131,td_rec_per_att,0.014495538567213131
0.013682589822009766,rushyds_past_sched,0.013682589822009766
0.012171473579510659,td_pass_per_comp,0.012171473579510659
0.011541165873373187,pass.comp,0.011541165873373187
0.011036847427282242,totalfumbs,0.011036847427282242
0.010327025493130623,kick.rets_past_sched,0.010327025493130623
0.00913891145629813,pass.comp_past_sched,0.00913891145629813
0.00911381755422165,totalfumbs_past_sched,0.00911381755422165
0.009062835482006471,YA449,0.009062835482006471
0.009001539575582524,14_17pts,0.009001539575582524
0.008477979316059732,18_27pts,0.008477979316059732
0.008273498040521243,recept,0.008273498040521243
0.008065125620244388,fumbslost_past_sched,0.008065125620244388
0.008041802752895781,kick.rets,0.008041802752895781
0.007476973494635103,recept_past_sched,0.007476973494635103
0.007267878386324548,recyds_past_sched,0.007267878386324548
0.007229324357490625,Season,0.007229324357490625
0.007063783573632036,YA549,0.007063783573632036
0.006660390010872985,puntret.tds_past_sched,0.006660390010872985
0.006424738865743912,rec.tds,0.006424738865743912
0.006358338033620834,pass.ints,0.006358338033620834
0.006245495842690646,passyds_past_sched,0.006245495842690646
0.006113818027433093,puntret.tds,0.006113818027433093
0.006001589846462038,pass.ints_past_sched,0.006001589846462038
0.0059899220721366065,pass.tds_past_sched,0.0059899220721366065
0.005896581440893028,YA499,0.005896581440893028
0.005686768057035747,fumbslost,0.005686768057035747
0.005458376432880485,recyds,0.005458376432880485
0.005453243095340446,passyds,0.005453243095340446
0.005009673349167004,rec.tds_past_sched,0.005009673349167004
0.004909330417393809,35_45pts,0.004909330417393809
0.004835246868585653,1_6pts,0.004835246868585653
0.004346400193756401,pass.tds,0.004346400193756401
0.003885210075055329,Sfty,0.003885210075055329
0.003297464719369968,rec.twoptm,0.003297464719369968
0.002796101267546213,rec.twoptm_past_sched,0.002796101267546213
0.002040523133511422,kickret.tds,0.002040523133511422
0.0018553616149259461,pass.twoptm,0.0018553616149259461
0.0018482986587904746,rush.twoptm,0.0018482986587904746
0.0015261974611778973,rush.twoptm_past_sched,0.0015261974611778973
0.0014446560576367948,pass.twoptm_past_sched,0.0014446560576367948
0.0013840588127475768,0pts,0.0013840588127475768
0.0013546795933024982,kickret.tds_past_sched,0.0013546795933024982
0.0009600700593864753,45pts,0.0009600700593864753
0.0006692816364431657,YA550,0.0006692816364431657
0.00014549335951156688,YA100,0.00014549335951156688
0.0,totalfumbs_delta_sched,0.0
0.0,rushyds_delta_sched,0.0
0.0,rushtds_delta_sched,0.0
0.0,rush.twoptm_delta_sched,0.0
0.0,rush.att_delta_sched,0.0
0.0,recyds_delta_sched,0.0
0.0,recept_delta_sched,0.0
0.0,rec.twoptm_delta_sched,0.0
0.0,rec.tds_delta_sched,0.0
0.0,puntret.tds_delta_sched,0.0
0.0,puntret.avg_delta_sched,0.0
0.0,punt.rets_delta_sched,0.0
0.0,passyds_delta_sched,0.0
0.0,pass.twoptm_delta_sched,0.0
0.0,pass.tds_delta_sched,0.0
0.0,pass.ints_delta_sched,0.0
0.0,pass.comp_delta_sched,0.0
0.0,pass.att_delta_sched,0.0
0.0,kickret.tds_delta_sched,0.0
0.0,kickret.avg_delta_sched,0.0
0.0,kick.rets_delta_sched,0.0
0.0,fumbslost_delta_sched,0.0
