Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New York Jets,16,21,12,,1,1,1,1,37,2,5,32,32,30,36,,348,21.8
2,Dallas Cowboys,16,14,26,2,,,1,,43,1,1,41,41,20,31,,361,22.6
3,Baltimore Ravens,16,22,21,,1,1,2,,47,,0,46,47,21,30,,391,24.4
4,San Francisco 49ers,16,12,23,,,2,1,1,39,,0,39,39,19,24,,330,20.6
5,New England Patriots,16,19,28,,,,3,,50,1,3,47,47,26,31,,427,26.7
6,Cincinnati Bengals,16,9,21,,1,1,2,,34,2,5,28,29,23,28,,305,19.1
7,Green Bay Packers,16,20,30,,,1,3,,54,3,5,48,49,27,36,1,461,28.8
8,Indianapolis Colts,16,16,34,,1,,2,,53,,2,50,51,16,20,,416,26.0
9,Carolina Panthers,16,18,16,,,,1,,35,2,3,31,32,22,27,2,315,19.7
10,Minnesota Vikings,16,19,34,,2,1,,,56,,1,54,55,26,28,1,470,29.4
11,San Diego Chargers,16,17,29,1,,2,1,1,51,,0,50,51,32,35,1,454,28.4
12,Denver Broncos,16,9,21,1,1,2,,,34,,2,32,32,30,35,,326,20.4
13,Pittsburgh Steelers,16,10,28,,,1,2,,41,,0,41,41,27,31,,368,23.0
14,Atlanta Falcons,16,15,26,,,2,1,,44,,1,42,43,19,29,,363,22.7
15,Arizona Cardinals,16,16,27,,1,,1,1,46,,0,45,46,18,19,,375,23.4
16,Buffalo Bills,16,6,17,,,,2,,25,,1,24,24,28,33,,258,16.1
17,Houston Texans,16,13,29,,1,2,1,,46,1,2,43,44,21,32,2,388,24.3
18,Washington Redskins,16,8,21,,,,,,29,,1,26,28,22,25,,266,16.6
19,Philadelphia Eagles,16,14,27,2,,2,2,,47,2,2,43,45,32,37,2,429,26.8
20,New Orleans Saints,16,21,34,,1,2,5,1,64,,1,60,63,22,28,,510,31.9
21,Cleveland Browns,16,10,11,1,3,,,,25,1,2,22,23,23,25,1,245,15.3
22,Chicago Bears,16,6,27,1,1,,1,,36,2,2,33,33,24,28,1,327,20.4
23,Oakland Raiders,16,7,10,,,,,,17,,0,17,17,26,29,,197,12.3
24,Jacksonville Jaguars,16,19,15,,,,,,34,1,2,30,31,18,28,,290,18.1
25,Miami Dolphins,16,22,15,,2,1,1,,41,1,3,37,38,25,28,,360,22.5
26,Seattle Seahawks,16,7,20,,,1,2,,30,,2,28,28,24,26,,280,17.5
27,Tampa Bay Buccaneers,16,5,18,1,1,,2,1,28,2,4,24,24,16,26,,244,15.3
28,Tennessee Titans,16,19,16,,,,4,,39,1,2,37,37,27,32,,354,22.1
29,Kansas City Chiefs,16,8,18,,1,1,2,1,31,1,2,29,29,25,29,1,294,18.4
30,New York Giants,16,14,28,1,,1,2,,46,,1,45,45,27,32,,402,25.1
31,St. Louis Rams,16,4,12,,,,1,,17,,1,16,16,19,24,,175,10.9
32,Detroit Lions,16,9,16,,,1,2,,28,1,3,25,25,21,28,2,262,16.4
