Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Minnesota Vikings,16,15,25,,,,1,,41,2,2,,34,39,32,38,1,382,23.9
2,Jacksonville Jaguars,16,18,21,1,,5,2,,47,3,6,1,37,41,30,35,,415,26.1
3,Los Angeles Chargers,16,10,28,1,,2,2,,43,,1,,37,42,20,30,,355,22.2
4,Philadelphia Eagles,16,9,38,,,5,1,,53,6,9,,40,44,29,34,,457,28.6
5,New England Patriots,16,16,32,,1,,,,49,2,2,,45,47,37,40,2,458,28.6
6,Baltimore Ravens,16,14,20,1,1,3,3,,42,1,3,,39,39,34,37,,395,24.7
7,Pittsburgh Steelers,16,12,29,,1,,,1,43,2,4,,37,39,35,38,1,406,25.4
8,Atlanta Falcons,16,12,21,,,3,,,36,,1,,35,35,34,39,,353,22.1
9,Chicago Bears,16,13,13,2,,1,2,,31,1,2,,26,28,16,22,1,264,16.5
10,New Orleans Saints,16,23,23,,1,1,2,1,51,1,1,,47,50,31,36,,448,28.0
11,Carolina Panthers,16,15,22,1,1,1,,,40,1,3,,34,37,29,30,,363,22.7
12,Los Angeles Rams,16,17,28,,1,,3,2,51,,0,,48,51,40,43,2,478,29.9
13,Dallas Cowboys,16,18,22,1,,,1,,42,,3,,36,39,22,29,,354,22.1
14,Seattle Seahawks,16,4,34,,1,1,3,,43,2,3,,37,38,21,29,2,366,22.9
15,Kansas City Chiefs,16,12,26,1,,3,,,42,,2,,40,40,41,45,,415,25.9
16,Cincinnati Bengals,16,6,25,,,,3,,34,,0,,32,34,18,20,,290,18.1
17,Tennessee Titans,16,18,14,,,1,,,33,,0,,31,33,35,42,,334,20.9
18,Buffalo Bills,16,12,16,,,2,1,,31,,1,,29,29,29,33,,302,18.9
19,Arizona Cardinals,16,6,21,,,1,1,,29,1,2,,23,26,32,40,,295,18.4
20,Oakland Raiders,16,13,23,,,,,,36,2,2,,33,34,16,21,,301,18.8
21,Detroit Lions,16,10,29,2,,2,3,,46,2,5,,40,41,30,35,,410,25.6
22,Tampa Bay Buccaneers,16,8,26,,,3,1,,38,2,6,,28,31,25,34,,335,20.9
23,New York Jets,16,13,19,,,,,,32,1,3,,29,29,25,30,,298,18.6
24,Denver Broncos,16,8,19,,,2,2,,31,2,4,,27,27,24,32,,289,18.1
25,San Francisco 49ers,16,15,15,,,,1,,31,,1,,28,30,39,41,,331,20.7
26,Green Bay Packers,16,13,25,,,1,1,,40,1,3,,33,35,15,19,,320,20.0
27,Washington Redskins,16,10,27,,,,2,,39,,0,,36,39,24,28,,342,21.4
28,New York Giants,16,6,20,,,,2,,28,1,5,,20,23,18,25,1,246,15.4
29,Miami Dolphins,16,4,24,,,2,1,,31,1,1,,26,29,21,23,2,281,17.6
30,Indianapolis Colts,16,11,13,,,,1,,25,,1,,22,24,29,34,2,263,16.4
31,Cleveland Browns,16,11,15,,,,1,,27,1,1,,25,26,15,20,,234,14.6
32,Houston Texans,16,8,28,,,2,2,,40,2,5,,32,35,20,25,1,338,21.1
