Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New England Patriots,16,19,32,,,,,,51,1,2,,46,49,27,32,3,441,27.6
2,New York Giants,16,6,26,,,2,1,1,36,,1,,31,35,21,22,,310,19.4
3,Seattle Seahawks,16,13,23,,,1,,,37,1,2,,29,35,33,37,1,354,22.1
4,Denver Broncos,16,11,20,,,1,3,,35,1,2,1,32,33,29,34,,331,20.8
5,Dallas Cowboys,16,24,25,,,,,,49,,2,,46,46,27,32,,421,26.3
6,Minnesota Vikings,16,9,20,2,1,2,2,,36,1,3,,26,33,27,31,1,327,20.4
7,Kansas City Chiefs,16,15,19,2,1,1,4,,42,2,2,1,36,39,31,35,1,387,24.3
8,Cincinnati Bengals,16,17,18,,,,,,35,,0,,29,35,28,35,1,325,20.3
9,Baltimore Ravens,16,10,20,,,1,,1,32,4,5,1,27,27,38,39,,341,21.4
10,Pittsburgh Steelers,16,13,33,,,1,,,47,3,9,,37,37,24,28,1,399,24.9
11,Houston Texans,16,8,15,1,,,1,,25,,0,,22,25,35,41,1,279,17.4
12,Philadelphia Eagles,16,16,16,,2,,3,,37,4,6,,30,31,35,41,1,367,22.9
13,Detroit Lions,16,9,24,2,,,1,,36,1,2,,31,33,31,36,2,346,21.6
14,Arizona Cardinals,16,20,28,,,1,2,,51,1,4,,43,47,21,28,2,418,26.1
15,Tampa Bay Buccaneers,16,8,29,,,,4,,41,4,7,,32,34,22,31,1,354,22.1
16,Buffalo Bills,16,29,17,,,2,1,,49,4,4,,40,45,19,25,,399,24.9
17,Tennessee Titans,16,16,29,,,1,,,46,,5,,39,41,22,24,,381,23.8
18,Miami Dolphins,16,14,27,1,1,,1,1,45,1,2,1,41,42,16,21,,361,22.7
19,Washington Redskins,16,17,25,1,,,,,43,,4,,36,39,34,42,,396,24.8
20,Oakland Raiders,16,17,29,,,,1,,47,5,7,,37,39,29,35,,416,26.0
21,Green Bay Packers,16,11,40,,,,,,51,2,4,,44,47,26,30,,432,27.0
22,Indianapolis Colts,16,13,32,,1,1,,,47,2,3,,44,44,27,31,,411,25.7
23,Los Angeles Rams,16,9,14,,,1,,,24,,1,,23,23,19,22,,224,14.0
24,Chicago Bears,16,10,19,1,,1,1,,32,,0,,31,32,18,23,1,279,17.4
25,Jacksonville Jaguars,16,8,24,,1,,1,,34,2,2,,29,32,27,34,,318,19.9
26,Carolina Panthers,16,16,21,,,2,1,,40,3,6,,31,34,30,38,1,369,23.1
27,Atlanta Falcons,16,20,38,,,2,3,,63,2,6,,56,57,34,37,,540,33.8
28,New York Jets,16,10,16,,,,,1,27,1,1,,24,26,27,31,,269,17.2
29,San Diego Chargers,16,10,33,,,2,3,,48,,2,,42,46,26,32,1,410,25.6
30,Cleveland Browns,16,13,15,,,,1,,29,2,4,,23,25,21,27,,264,16.5
31,New Orleans Saints,16,17,38,,,,,,55,2,5,,49,50,28,34,1,469,29.3
32,San Francisco 49ers,16,15,21,,,,,,36,2,2,,33,34,18,21,1,309,19.3
