name,Pos,Team,points_abv_avg
I.Thomas,TE,CAR,-25.43042981
M.Williams,WR,LAC,-25.63991806
N.Hines,RB,IND,-26.14196095
L.McCoy,RB,BUF,-26.17057331
G.Everett,TE,LA,-26.35982134
R.Seals-Jones,TE,ARI,-26.53674127
M.Mariota,QB,TEN,-27.0862257
B.Jarwin,TE,DAL,-27.15941032
C.Sutton,WR,DEN,-27.28009452
M.Davis,RB,CHI,-28.115177
G.Edwards,RB,BAL,-28.4424485
C.Wentz,QB,PHI,-29.07114065
L.Murray,RB,NO,-29.60003066
D.Moncrief,WR,PIT,-30.10016532
Z.Jones,WR,BUF,-30.13805052
C.Beasley,WR,BUF,-30.58686412
C.Kirk,WR,ARI,-33.47658594
J.Williams,RB,GB,-33.95289546
C.Kupp,WR,LA,-34.02371014
L.Fournette,RB,JAX,-34.09265175
S.Darnold,QB,NYJ,-34.96474141
D.Johnson,RB,ARI,-35.49715064
M.Valdes-Scantling,WR,GB,-36.67460472
A.Blue,RB,JAX,-36.71781338
C.Samuel,WR,CAR,-37.22519492
W.Smallwood,RB,PHI,-38.35347143
C.Hyde,RB,KC,-39.96986983
R.Freeman,RB,DEN,-40.58192136
J.Adams,RB,PHI,-42.47926328
T.Riddick,RB,DET,-42.68907744
A.Dalton,QB,CIN,-46.57368104
L.Jackson,QB,BAL,-47.30368051
R.Fitzpatrick,QB,MIA,-48.52511981
A.Smith,QB,WAS,-55.50766536
