"","Season","game.id","date","Team","playerID","name","pass.att","pass.comp","passyds","pass.tds","pass.ints","pass.twopta","pass.twoptm","rush.att","rushyds","rushtds","rushlng","rushlngtd","rush.twopta","rush.twoptm","recept","recyds","rec.tds","reclng","reclngtd","rec.twopta","rec.twoptm","kick.rets","kickret.avg","kickret.tds","kick.ret.lng","kickret.lngtd","punt.rets","puntret.avg","puntret.tds","puntret.lng","puntret.lngtd","fgm","fga","fgyds","totpts.fg","xpmade","xpmissed","xpa","xpb","xppts.tot","tackles","asst.tackles","sacks","defints","forced.fumbs","totalfumbs","recfumbs","totalrecfumbs","fumbyds","fumbslost","games"
"1",2014,"2014090400",2014-09-04,"SEA","00-0027866","E.Thomas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,1,1
"2",2014,"2014090400",2014-09-04,"SEA","00-0026998","P.Harvin",0,0,0,0,0,0,0,4,41,0,16,0,0,0,7,59,0,33,0,0,0,3,20,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"3",2014,"2014090400",2014-09-04,"SEA","00-0028434","D.Baldwin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",2014,"2014090400",2014-09-04,"SEA","00-0025399","M.Lynch",0,0,0,0,0,0,0,20,110,2,21,9,0,0,1,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",2014,"2014090400",2014-09-04,"SEA","00-0029159","J.Kearse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6",2014,"2014090400",2014-09-04,"SEA","00-0029263","R.Wilson",28,19,191,2,0,0,0,7,29,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",2014,"2014090400",2014-09-04,"SEA","00-0029068","D.Coleman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8",2014,"2014090400",2014-09-04,"SEA","00-0025425","Z.Miller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",2014,"2014090400",2014-09-04,"SEA","00-0029273","R.Turbin",0,0,0,0,0,0,0,6,27,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10",2014,"2014090400",2014-09-04,"SEA","00-0029295","J.Lane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1
"11",2014,"2014090400",2014-09-04,"SEA","00-0024102","T.McDaniel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
"12",2014,"2014090400",2014-09-04,"SEA","00-0028442","R.Lockette",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,1,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"13",2014,"2014090400",2014-09-04,"SEA","00-0029193","B.Irvin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"14",2014,"2014090400",2014-09-04,"SEA","00-0030089","L.Willson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",2014,"2014090400",2014-09-04,"SEA","00-0025944","S.Hauschka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,35,6,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1
"16",2014,"2014090400",2014-09-04,"SEA","00-0029255","B.Wagner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,1
"17",2014,"2014090400",2014-09-04,"SEA","00-0027733","K.Chancellor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,1
"18",2014,"2014090400",2014-09-04,"SEA","00-0028037","K.Wright",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1
"19",2014,"2014090400",2014-09-04,"SEA","00-0028111","B.Maxwell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1
"20",2014,"2014090400",2014-09-04,"SEA","00-0027730","O.Schofield",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
"21",2014,"2014090400",2014-09-04,"SEA","00-0026232","C.Avril",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
"22",2014,"2014090400",2014-09-04,"SEA","00-0028180","M.Smith",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"23",2014,"2014090400",2014-09-04,"SEA","00-0029942","M.Burley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
