"","Season","Player","Team","Pos","name","GSIS_ID"
"1",2017,"A.J. Derby","MIA","TE","A.Derby","00-0031609"
"2",2017,"A.J. Green","CIN","WR","A.Green","00-0027942"
"3",2017,"Aaron Jones","GB","RB","A.Jones","00-0033293"
"4",2017,"Aaron Ripkowski","GB","FB","A.Ripkowski","00-0031612"
"5",2017,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
"6",2017,"Adam Humphries","TB","WR","A.Humphries","00-0032009"
"7",2017,"Adam Shaheen","CHI","TE","A.Shaheen","00-0033896"
"8",2017,"Adam Thielen","MIN","WR","A.Thielen","00-0030035"
"9",2017,"Adam Vinatieri","IND","K","A.Vinatieri","00-0016919"
"10",2017,"Adrian Peterson","ARI","RB","A.Peterson","00-0025394"
"11",2017,"AJ McCarron","CIN","QB","A.McCarron","00-0031288"
"12",2017,"Akeem Hunt","KC","RB","A.Hunt","00-0031743"
"13",2017,"Alan Cross","TB","TE","A.Cross","00-0032745"
"14",2017,"Albert Wilson","KC","WR","A.Wilson","00-0030669"
"15",2017,"Aldrick Robinson","SF","WR","A.Robinson","00-0028116"
"16",2017,"Aldrick Rosas","NYG","K","A.Rosas","00-0032870"
"17",2017,"Alex Collins","BAL","RB","A.Collins","00-0032426"
"18",2017,"Alex Erickson","CIN","WR","A.Erickson","00-0032543"
"19",2017,"Alex Smith","KC","QB","A.Smith","00-0023436"
"20",2017,"Alfred Blue","HOU","RB","A.Blue","00-0031075"
"21",2017,"Alfred Morris","DAL","RB","A.Morris","00-0029141"
"22",2017,"Allen Hurns","JAX","WR","A.Hurns","00-0030821"
"23",2017,"Allen Robinson","JAX","WR","A.Robinson","00-0031428"
"24",2017,"Alshon Jeffery","PHI","WR","A.Jeffery","00-0029137"
"25",2017,"Alvin Kamara","NO","RB","A.Kamara","00-0033906"
"26",2017,"Amara Darboh","SEA","WR","A.Darboh","00-0033937"
"27",2017,"Amari Cooper","OAK","WR","A.Cooper","00-0031544"
"28",2017,"Ameer Abdullah","DET","RB","A.Abdullah","00-0032104"
"29",2017,"Andre Ellington","HOU","RB","A.Ellington","00-0030287"
"30",2017,"Andre Holmes","BUF","WR","A.Holmes","00-0028263"
"31",2017,"Andre Roberts","ATL","WR","A.Roberts","00-0027691"
"32",2017,"Andre Williams","LAC","RB","A.Williams","00-0031055"
"33",2017,"Andy Dalton","CIN","QB","A.Dalton","00-0027973"
"34",2017,"Andy Janovich","DEN","FB","A.Janovich","00-0032956"
"35",2017,"Anthony Fasano","MIA","TE","A.Fasano","00-0024268"
"36",2017,"Anthony Sherman","KC","FB","A.Sherman","00-0028074"
"37",2017,"Antonio Brown","PIT","WR","A.Brown","00-0027793"
"38",2017,"Antonio Gates","LAC","TE","A.Gates","00-0021547"
"39",2017,"Antony Auclair","TB","TE","A.Auclair","00-0033421"
"40",2017,"ArDarius Stewart","NYJ","WR","A.Stewart","00-0033916"
"41",2017,"Arrelious Benn","JAX","WR","A.Benn","00-0027654"
