Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Seattle Seahawks,16,16,27,,1,1,2,2,49,,0,46,48,24,27,,412,25.8
2,San Francisco 49ers,16,17,23,,,2,2,,44,,0,44,44,29,42,1,397,24.8
3,Chicago Bears,16,11,21,,,1,8,1,42,1,2,40,40,27,33,,375,23.4
4,Denver Broncos,16,12,37,1,1,1,5,,57,1,2,55,55,26,32,2,481,30.1
5,Atlanta Falcons,16,12,32,,,1,1,,46,,2,44,44,33,38,,419,26.2
6,Pittsburgh Steelers,16,8,27,,,,1,,36,1,2,34,34,28,31,,336,21.0
7,Miami Dolphins,16,15,13,1,1,,,1,31,2,2,29,29,23,30,,288,18.0
8,Cincinnati Bengals,16,11,28,1,,1,2,,43,,0,43,43,30,35,,391,24.4
9,New England Patriots,16,25,34,1,1,4,2,,67,,1,66,66,29,35,1,557,34.8
10,Houston Texans,16,19,22,,,,3,2,46,,0,45,45,31,38,1,416,26.0
11,Green Bay Packers,16,9,40,1,,1,1,1,53,1,3,50,50,21,33,,433,27.1
12,Baltimore Ravens,16,17,22,1,2,,2,,44,1,1,42,42,30,33,,398,24.9
13,New York Giants,16,18,26,,1,1,1,,47,1,1,46,46,33,39,,429,26.8
14,St. Louis Rams,16,5,22,,,1,4,,32,5,6,26,26,23,31,1,299,18.7
15,Minnesota Vikings,16,16,18,1,1,,3,,39,2,3,36,36,35,38,,379,23.7
16,San Diego Chargers,16,4,26,1,1,2,5,,39,,0,39,39,25,27,1,350,21.9
17,Arizona Cardinals,16,10,11,,,1,2,1,25,,0,25,25,25,28,,250,15.6
18,Carolina Panthers,16,21,19,,,1,3,,44,,0,43,44,16,21,1,357,22.3
19,Cleveland Browns,16,12,16,1,,,2,,31,,1,29,29,29,31,,302,18.9
20,New York Jets,16,12,14,1,1,1,2,,31,,1,30,30,21,27,1,281,17.6
21,Indianapolis Colts,16,11,23,1,1,,4,,40,1,2,37,37,26,33,,357,22.3
22,Washington Redskins,16,22,24,,,3,3,,52,1,1,50,51,24,30,,436,27.3
23,Tampa Bay Buccaneers,16,13,27,,,,3,1,44,1,4,39,39,28,33,,389,24.3
24,Dallas Cowboys,16,8,29,1,,2,1,,41,3,4,37,37,29,31,,376,23.5
25,Kansas City Chiefs,16,9,8,,,1,,,18,,1,17,17,28,34,1,211,13.2
26,Buffalo Bills,16,12,24,2,1,,1,,40,,1,39,39,21,24,1,344,21.5
27,Detroit Lions,16,17,22,,,,,,39,1,1,38,38,32,36,1,372,23.3
28,Oakland Raiders,16,4,24,,,,,,28,2,3,25,25,31,34,,290,18.1
29,Jacksonville Jaguars,16,5,20,,,,,1,26,3,7,18,19,25,28,,255,15.9
30,Philadelphia Eagles,16,10,18,1,,,,,29,,3,25,26,27,31,,280,17.5
31,New Orleans Saints,16,10,43,,,,4,1,58,1,1,57,57,18,22,,461,28.8
32,Tennessee Titans,16,10,17,3,1,1,4,,36,1,1,35,35,25,31,1,330,20.6
