"","Season","Player","Team","Pos","name","GSIS_ID"
"1",2009,"Aaron Brown","DET","RB","A.Brown","00-0027129"
"2",2009,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
"3",2009,"Aaron Stecker","ATL","RB","A.Stecker","00-0015601"
"4",2009,"Adam Vinatieri","IND","K","A.Vinatieri","00-0016919"
"5",2009,"Adrian Peterson","CHI","RB","A.Peterson","00-0021306"
"6",2009,"Adrian Peterson","MIN","RB","A.Peterson","00-0025394"
"7",2009,"Ahmad Bradshaw","NYG","RB","A.Bradshaw","00-0025637"
"8",2009,"Ahman Green","GB","RB","A.Green","00-0006305"
"9",2009,"Ahmard Hall","TEN","FB","A.Hall","00-0024489"
"10",2009,"Albert Young","MIN","RB","A.Young","00-0025955"
"11",2009,"Alex Smith","PHI","TE","A.Smith","00-0023506"
"12",2009,"Alex Smith","SF","QB","A.Smith","00-0023436"
"13",2009,"Alge Crumpler","TEN","TE","A.Crumpler","00-0020285"
"14",2009,"Andre Caldwell","CIN","WR","A.Caldwell","00-0026237"
"15",2009,"Andre Davis","HOU","WR","A.Davis","00-0021175"
"16",2009,"Andre Johnson","HOU","WR","A.Johnson","00-0022044"
"17",2009,"Anquan Boldin","ARI","WR","A.Boldin","00-0022084"
"18",2009,"Anthony Becht","ARI","TE","A.Becht","00-0019457"
"19",2009,"Anthony Fasano","MIA","TE","A.Fasano","00-0024268"
"20",2009,"Anthony Hill","HOU","TE","A.Hill","00-0026908"
"21",2009,"Antonio Bryant","TB","WR","A.Bryant","00-0021191"
"22",2009,"Antwaan Randle El","WAS","WR","A.El","00-0021190"
"23",2009,"Arian Foster","HOU","RB","A.Foster","00-0026796"
"24",2009,"Arnaz Battle","SF","WR","A.Battle","00-0022064"
"25",2009,"Austin Collie","IND","WR","A.Collie","00-0027092"
"26",2009,"B.J. Askew","TB","FB","B.Askew","00-0022003"
"27",2009,"Beanie Wells","ARI","RB","B.Wells","00-0027007"
"28",2009,"Bear Pascoe","NYG","TE","B.Pascoe","00-0026931"
"29",2009,"Ben Hartsock","NYJ","TE","B.Hartsock","00-0022847"
"30",2009,"Ben Obomanu","SEA","WR","B.Obomanu","00-0024463"
"31",2009,"Ben Patrick","ARI","TE","B.Patrick","00-0025602"
"32",2009,"Ben Roethlisberger","PIT","QB","B.Roethlisberger","00-0022924"
"33",2009,"Benjamin Watson","NE","TE","B.Watson","00-0022943"
"34",2009,"BenJarvus Green-Ellis","NE","RB","B.Green-Ellis","00-0025860"
"35",2009,"Bernard Berrian","MIN","WR","B.Berrian","00-0022807"
"36",2009,"Bernard Scott","CIN","RB","B.Scott","00-0026941"
"37",2009,"Billy Cundiff","BAL","K","B.Cundiff","00-0020972"
"38",2009,"Bo Scaife","TEN","TE","B.Scaife","00-0023612"
"39",2009,"Bobby Engram","KC","WR","B.Engram","00-0004915"
"40",2009,"Bobby Wade","KC","WR","B.Wade","00-0022144"
"41",2009,"Brad Cottam","KC","TE","B.Cottam","00-0026216"
"42",2009,"Brad Hoover","CAR","FB","B.Hoover","00-0019100"
"43",2009,"Brad Smith","NYJ","WR","B.Smith","00-0024318"
"44",2009,"Brady Quinn","CLE","QB","B.Quinn","00-0025409"
"45",2009,"Brandon Jackson","GB","RB","B.Jackson","00-0025450"
"46",2009,"Brandon Jacobs","NYG","RB","B.Jacobs","00-0023545"
"47",2009,"Brandon Jones","SF","WR","B.Jones","00-0023531"
"48",2009,"Brandon Lloyd","DEN","WR","B.Lloyd","00-0022097"
"49",2009,"Brandon Marshall","DEN","WR","B.Marshall","00-0024334"
"50",2009,"Brandon Myers","OAK","TE","B.Myers","00-0027135"
"51",2009,"Brandon Pettigrew","DET","TE","B.Pettigrew","00-0026996"
"52",2009,"Brandon Stokley","DEN","WR","B.Stokley","00-0015754"
"53",2009,"Brandon Tate","NE","WR","B.Tate","00-0027057"
"54",2009,"Braylon Edwards","NYJ","WR","B.Edwards","00-0023438"
"55",2009,"Brent Celek","PHI","TE","B.Celek","00-0025549"
"56",2009,"Brett Favre","MIN","QB","B.Favre","00-0005106"
"57",2009,"Brett Swain","GB","WR","B.Swain","00-0026357"
"58",2009,"Brian Brohm","BUF","QB","B.Brohm","00-0026196"
"59",2009,"Brian Clark","TB","WR","B.Clark","00-0023790"
"60",2009,"Brian Finneran","ATL","WR","B.Finneran","00-0005231"
"61",2009,"Brian Hartline","MIA","WR","B.Hartline","00-0027077"
