"","Season","Player","Team","Pos","name","GSIS_ID"
"1",2018,"A.J. Derby","MIA","TE","A.Derby","00-0031609"
"2",2018,"A.J. Green","CIN","WR","A.Green","00-0027942"
"3",2018,"Aaron Jones","GB","RB","A.Jones","00-0033293"
"4",2018,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
"5",2018,"Adam Humphries","TB","WR","A.Humphries","00-0032009"
"6",2018,"Adam Shaheen","CHI","TE","A.Shaheen","00-0033896"
"7",2018,"Adam Thielen","MIN","WR","A.Thielen","00-0030035"
"8",2018,"Adam Vinatieri","IND","K","A.Vinatieri","00-0016919"
"9",2018,"Adrian Peterson","WAS","RB","A.Peterson","00-0025394"
"10",2018,"AJ McCarron","OAK","QB","A.McCarron","00-0031288"
"11",2018,"Alan Cross","TB","TE","A.Cross","00-0032745"
"12",2018,"Albert Wilson","MIA","WR","A.Wilson","00-0030669"
"13",2018,"Aldrick Robinson","MIN","WR","A.Robinson","00-0028116"
"14",2018,"Aldrick Rosas","NYG","K","A.Rosas","00-0032870"
"15",2018,"Alex Armah","CAR","FB","A.Armah","00-0033296"
"16",2018,"Alex Collins","BAL","RB","A.Collins","00-0032426"
"17",2018,"Alex Erickson","CIN","WR","A.Erickson","00-0032543"
"18",2018,"Alex Smith","WAS","QB","A.Smith","00-0023436"
"19",2018,"Alfred Blue","HOU","RB","A.Blue","00-0031075"
"20",2018,"Alfred Morris","SF","RB","A.Morris","00-0029141"
"21",2018,"Allen Hurns","DAL","WR","A.Hurns","00-0030821"
"22",2018,"Allen Lazard","GB","WR","A.Lazard","00-0034521"
"23",2018,"Allen Robinson","CHI","WR","A.Robinson","00-0031428"
"24",2018,"Alshon Jeffery","PHI","WR","A.Jeffery","00-0029137"
"25",2018,"Alvin Kamara","NO","RB","A.Kamara","00-0033906"
"26",2018,"Amari Cooper","DAL","WR","A.Cooper","00-0031544"
"27",2018,"Andre Holmes","DEN","WR","A.Holmes","00-0028263"
"28",2018,"Andre Roberts","NYJ","WR","A.Roberts","00-0027691"
"29",2018,"Andrew Luck","IND","QB","A.Luck","00-0029668"
"30",2018,"Andy Dalton","CIN","QB","A.Dalton","00-0027973"
"31",2018,"Andy Janovich","DEN","FB","A.Janovich","00-0032956"
"32",2018,"Andy Jones","DET","WR","A.Jones","00-0032707"
"33",2018,"Anthony Firkser","TEN","TE","A.Firkser","00-0033455"
"34",2018,"Anthony Miller","CHI","WR","A.Miller","00-0034353"
"35",2018,"Anthony Sherman","KC","RB","A.Sherman","00-0028074"
"36",2018,"Antonio Brown","PIT","WR","A.Brown","00-0027793"
"37",2018,"Antonio Callaway","CLE","WR","A.Callaway","00-0034772"
"38",2018,"Antonio Gates","LAC","TE","A.Gates","00-0021547"
"39",2018,"Antony Auclair","TB","TE","A.Auclair","00-0033421"
"40",2018,"Auden Tate","CIN","WR","A.Tate","00-0034686"
"41",2018,"Austin Carr","NO","WR","A.Carr","00-0033382"
"42",2018,"Austin Ekeler","LAC","RB","A.Ekeler","00-0033699"
"43",2018,"Austin Hooper","ATL","TE","A.Hooper","00-0032392"
"44",2018,"Austin Seferian-Jenkins","JAX","TE","A.Seferian-Jenkins","00-0031418"
"45",2018,"Baker Mayfield","CLE","QB","B.Mayfield","00-0034855"
"46",2018,"Ben Braunecker","CHI","TE","B.Braunecker","00-0032661"
"47",2018,"Ben Roethlisberger","PIT","QB","B.Roethlisberger","00-0022924"
"48",2018,"Benjamin Watson","NO","TE","B.Watson","00-0022943"
"49",2018,"Bennie Fowler","NYG","WR","B.Fowler","00-0030670"
"50",2018,"Benny Cunningham","CHI","RB","B.Cunningham","00-0029795"
"51",2018,"Bilal Powell","NYJ","RB","B.Powell","00-0028064"
"52",2018,"Blaine Gabbert","TEN","QB","B.Gabbert","00-0027948"
"53",2018,"Blake Bell","JAX","TE","B.Bell","00-0032062"
"54",2018,"Blake Bortles","JAX","QB","B.Bortles","00-0031407"
"55",2018,"Blake Jarwin","DAL","TE","B.Jarwin","00-0033658"
"56",2018,"Bobo Wilson","TB","WR","B.Wilson","00-0033434"
"57",2018,"Brandin Cooks","LA","WR","B.Cooks","00-0031236"
"58",2018,"Brandon Bolden","MIA","RB","B.Bolden","00-0029239"
"59",2018,"Brandon LaFell","OAK","WR","B.LaFell","00-0027681"
"60",2018,"Brandon McManus","DEN","K","B.McManus","00-0029822"
"61",2018,"Brandon Powell","DET","WR","B.Powell","00-0034646"
"62",2018,"Brandon Zylstra","MIN","WR","B.Zylstra","00-0034052"
"63",2018,"Breshad Perriman","CLE","WR","B.Perriman","00-0032054"
"64",2018,"Brett Maher","DAL","K","B.Maher","00-0030332"
"65",2018,"Brian Hill","ATL","RB","B.Hill","00-0033567"
"66",2018,"Brian Hoyer","NE","QB","B.Hoyer","00-0026625"
"67",2018,"Brian Parker","DEN","TE","B.Parker","00-0032089"
"68",2018,"Brian Quick","WAS","WR","B.Quick","00-0029640"
"69",2018,"Brice Butler","MIA","WR","B.Butler","00-0030516"
"70",2018,"Brock Osweiler","MIA","QB","B.Osweiler","00-0029682"
"71",2018,"Bruce Ellington","DET","WR","B.Ellington","00-0031326"
"72",2018,"Byron Marshall","WAS","RB","B.Marshall","00-0032964"
"73",2018,"C.J. Anderson","LA","RB","C.Anderson","00-0029854"
"74",2018,"C.J. Beathard","SF","QB","C.Beathard","00-0033936"
"75",2018,"C.J. Ham","MIN","FB","C.Ham","00-0032918"
"76",2018,"C.J. Prosise","SEA","RB","C.Prosise","00-0032393"
"77",2018,"C.J. Uzomah","CIN","TE","C.Uzomah","00-0032134"
"78",2018,"Cairo Santos","TB","K","C.Santos","00-0031203"
"79",2018,"Caleb Sturgis","LAC","K","C.Sturgis","00-0030390"
"80",2018,"Calvin Ridley","ATL","WR","C.Ridley","00-0034837"
"81",2018,"Cam Newton","CAR","QB","C.Newton","00-0027939"
"82",2018,"Cam Phillips","BUF","WR","C.Phillips","00-0034512"
"83",2018,"Cameron Artis-Payne","CAR","RB","C.Artis-Payne","00-0031599"
