"","Season","Player","Team","Pos","name","GSIS_ID"
"1",2010,"Aaron Brown","DET","RB","A.Brown","00-0027129"
"2",2010,"Aaron Hernandez","NE","TE","A.Hernandez","00-0027713"
"3",2010,"Aaron Pettrey","CIN","K","A.Pettrey","00-0027405"
"4",2010,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
"5",2010,"Adam Vinatieri","IND","K","A.Vinatieri","00-0016919"
"6",2010,"Adrian Arrington","NO","WR","A.Arrington","00-0026377"
"7",2010,"Adrian Peterson","MIN","RB","A.Peterson","00-0025394"
"8",2010,"Ahmad Bradshaw","NYG","RB","A.Bradshaw","00-0025637"
"9",2010,"Ahmard Hall","TEN","FB","A.Hall","00-0024489"
"10",2010,"Albert Young","MIN","RB","A.Young","00-0025955"
"11",2010,"Alex Smith","CLE","TE","A.Smith","00-0023506"
"12",2010,"Alex Smith","SF","QB","A.Smith","00-0023436"
"13",2010,"Alge Crumpler","NE","TE","A.Crumpler","00-0020285"
"14",2010,"Andre Caldwell","CIN","WR","A.Caldwell","00-0026237"
"15",2010,"Andre Johnson","HOU","WR","A.Johnson","00-0022044"
"16",2010,"Andre Roberts","ARI","WR","A.Roberts","00-0027691"
"17",2010,"Andrew Quarless","GB","TE","A.Quarless","00-0027753"
"18",2010,"Anquan Boldin","BAL","WR","A.Boldin","00-0022084"
"19",2010,"Anthony Armstrong","WAS","WR","A.Armstrong","00-0026465"
"20",2010,"Anthony Dixon","SF","RB","A.Dixon","00-0027772"
"21",2010,"Anthony Fasano","MIA","TE","A.Fasano","00-0024268"
"22",2010,"Anthony Gonzalez","IND","WR","A.Gonzalez","00-0025419"
"23",2010,"Antone Smith","ATL","RB","A.Smith","00-0026855"
"24",2010,"Antonio Brown","PIT","WR","A.Brown","00-0027793"
"25",2010,"Antwaan Randle El","PIT","WR","A.El","00-0021190"
"26",2010,"Arian Foster","HOU","RB","A.Foster","00-0026796"
"27",2010,"Armanti Edwards","CAR","WR","A.Edwards","00-0027692"
"28",2010,"Arnaz Battle","PIT","WR","A.Battle","00-0022064"
"29",2010,"Arrelious Benn","TB","WR","A.Benn","00-0027654"
"30",2010,"Austin Collie","IND","WR","A.Collie","00-0027092"
"31",2010,"Beanie Wells","ARI","RB","B.Wells","00-0027007"
"32",2010,"Bear Pascoe","NYG","TE","B.Pascoe","00-0026931"
"33",2010,"Ben Hartsock","NYJ","TE","B.Hartsock","00-0022847"
"34",2010,"Ben Obomanu","SEA","WR","B.Obomanu","00-0024463"
"35",2010,"Ben Patrick","ARI","TE","B.Patrick","00-0025602"
"36",2010,"Ben Roethlisberger","PIT","QB","B.Roethlisberger","00-0022924"
"37",2010,"Benjamin Watson","CLE","TE","B.Watson","00-0022943"
"38",2010,"BenJarvus Green-Ellis","NE","RB","B.Green-Ellis","00-0025860"
"39",2010,"Bernard Berrian","MIN","WR","B.Berrian","00-0022807"
"40",2010,"Bernard Scott","CIN","RB","B.Scott","00-0026941"
"41",2010,"Billy Cundiff","BAL","K","B.Cundiff","00-0020972"
"42",2010,"Blair White","IND","WR","B.White","00-0027477"
"43",2010,"Bo Scaife","TEN","TE","B.Scaife","00-0023612"
"44",2010,"Brad Smith","NYJ","WR","B.Smith","00-0024318"
"45",2010,"Brandon Banks","WAS","WR","B.Banks","00-0027618"
"46",2010,"Brandon Jackson","GB","RB","B.Jackson","00-0025450"
"47",2010,"Brandon Jacobs","NYG","RB","B.Jacobs","00-0023545"
"48",2010,"Brandon James","IND","WR","B.James","00-0027470"
"49",2010,"Brandon LaFell","CAR","WR","B.LaFell","00-0027681"
"50",2010,"Brandon Lloyd","DEN","WR","B.Lloyd","00-0022097"
"51",2010,"Brandon Manumaleuna","CHI","TE","B.Manumaleuna","00-0020342"
"52",2010,"Brandon Marshall","MIA","WR","B.Marshall","00-0024334"
"53",2010,"Brandon Myers","OAK","TE","B.Myers","00-0027135"
"54",2010,"Brandon Pettigrew","DET","TE","B.Pettigrew","00-0026996"
"55",2010,"Brandon Stokley","SEA","WR","B.Stokley","00-0015754"
"56",2010,"Brandon Tate","NE","WR","B.Tate","00-0027057"
"57",2010,"Braylon Edwards","NYJ","WR","B.Edwards","00-0023438"
"58",2010,"Brent Celek","PHI","TE","B.Celek","00-0025549"
"59",2010,"Brett Favre","MIN","QB","B.Favre","00-0005106"
"60",2010,"Brett Swain","GB","WR","B.Swain","00-0026357"
"61",2010,"Brian Brohm","BUF","QB","B.Brohm","00-0026196"
"62",2010,"Brian Clark","DET","WR","B.Clark","00-0023790"
"63",2010,"Brian Finneran","ATL","WR","B.Finneran","00-0005231"
"64",2010,"Brian Hartline","MIA","WR","B.Hartline","00-0027077"
"65",2010,"Brian Hoyer","NE","QB","B.Hoyer","00-0026625"
