"","Season","Player","Team","Pos","name","GSIS_ID"
"1",2011,"A.J. Green","CIN","WR","A.Green","00-0027942"
"2",2011,"Aaron Brown","DET","RB","A.Brown","00-0027129"
"3",2011,"Aaron Hernandez","NE","TE","A.Hernandez","00-0027713"
"4",2011,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
"5",2011,"Adam Vinatieri","IND","K","A.Vinatieri","00-0016919"
"6",2011,"Adrian Arrington","NO","WR","A.Arrington","00-0026377"
"7",2011,"Adrian Peterson","MIN","RB","A.Peterson","00-0025394"
"8",2011,"Ahmad Bradshaw","NYG","RB","A.Bradshaw","00-0025637"
"9",2011,"Ahmard Hall","TEN","FB","A.Hall","00-0024489"
"10",2011,"Alex Green","GB","RB","A.Green","00-0028034"
"11",2011,"Alex Henery","PHI","K","A.Henery","00-0028058"
"12",2011,"Alex Smith","CLE","TE","A.Smith","00-0023506"
"13",2011,"Alex Smith","SF","QB","A.Smith","00-0023436"
"14",2011,"Alfonso Smith","ARI","RB","A.Smith","00-0027346"
"15",2011,"Allen Reisner","MIN","TE","A.Reisner","00-0028267"
"16",2011,"Andre Caldwell","CIN","WR","A.Caldwell","00-0026237"
"17",2011,"Andre Johnson","HOU","WR","A.Johnson","00-0022044"
"18",2011,"Andre Roberts","ARI","WR","A.Roberts","00-0027691"
"19",2011,"Andrew Hawkins","CIN","WR","A.Hawkins","00-0027918"
"20",2011,"Andrew Quarless","GB","TE","A.Quarless","00-0027753"
"21",2011,"Andy Dalton","CIN","QB","A.Dalton","00-0027973"
"22",2011,"Anquan Boldin","BAL","WR","A.Boldin","00-0022084"
"23",2011,"Anthony Allen","BAL","RB","A.Allen","00-0028163"
"24",2011,"Anthony Armstrong","WAS","WR","A.Armstrong","00-0026465"
"25",2011,"Anthony Becht","KC","TE","A.Becht","00-0019457"
"26",2011,"Anthony Dixon","SF","RB","A.Dixon","00-0027772"
"27",2011,"Anthony Fasano","MIA","TE","A.Fasano","00-0024268"
"28",2011,"Anthony Gonzalez","IND","WR","A.Gonzalez","00-0025419"
"29",2011,"Anthony Hill","IND","TE","A.Hill","00-0026908"
"30",2011,"Anthony McCoy","SEA","TE","A.McCoy","00-0027783"
