"","Season","Player","Team","Pos","name","GSIS_ID"
"1",2015,"A.J. Green","CIN","WR","A.Green","00-0027942"
"2",2015,"Aaron Dobson","NE","WR","A.Dobson","00-0030540"
"3",2015,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
"4",2015,"Adam Humphries","TB","WR","A.Humphries","00-0032009"
"5",2015,"Adam Thielen","MIN","WR","A.Thielen","00-0030035"
"6",2015,"Adam Vinatieri","IND","K","A.Vinatieri","00-0016919"
"7",2015,"Adrian Peterson","MIN","RB","A.Peterson","00-0025394"
"8",2015,"Ahmad Bradshaw","IND","RB","A.Bradshaw","00-0025637"
"9",2015,"AJ McCarron","CIN","QB","A.McCarron","00-0031288"
"10",2015,"Akeem Hunt","HOU","RB","A.Hunt","00-0031743"
"11",2015,"Albert Wilson","KC","WR","A.Wilson","00-0030669"
"12",2015,"Alex Smith","KC","QB","A.Smith","00-0023436"
"13",2015,"Alex Smith","WAS","TE","A.Smith","00-0023506"
"14",2015,"Alex Tanney","TEN","QB","A.Tanney","00-0029623"
"15",2015,"Alfred Blue","HOU","RB","A.Blue","00-0031075"
"16",2015,"Alfred Morris","WAS","RB","A.Morris","00-0029141"
"17",2015,"Alshon Jeffery","CHI","WR","A.Jeffery","00-0029137"
"18",2015,"Amari Cooper","OAK","WR","A.Cooper","00-0031544"
"19",2015,"Ameer Abdullah","DET","RB","A.Abdullah","00-0032104"
"20",2015,"Andre Caldwell","DEN","WR","A.Caldwell","00-0026237"
"21",2015,"Andre Ellington","ARI","RB","A.Ellington","00-0030287"
"22",2015,"Andre Holmes","OAK","WR","A.Holmes","00-0028263"
"23",2015,"Andre Johnson","IND","WR","A.Johnson","00-0022044"
"24",2015,"Andre Roberts","WAS","WR","A.Roberts","00-0027691"
"25",2015,"Andre Williams","NYG","RB","A.Williams","00-0031055"
"26",2015,"Andrew Franks","MIA","K","A.Franks","00-0031718"
"27",2015,"Andrew Hawkins","CLE","WR","A.Hawkins","00-0027918"
"28",2015,"Andrew Luck","IND","QB","A.Luck","00-0029668"
"29",2015,"Andrew Quarless","GB","TE","A.Quarless","00-0027753"
"30",2015,"Andrew Turzilli","TEN","WR","A.Turzilli","00-0032045"
"31",2015,"Andy Dalton","CIN","QB","A.Dalton","00-0027973"
"32",2015,"Anquan Boldin","SF","WR","A.Boldin","00-0022084"
"33",2015,"Anthony Dixon","BUF","RB","A.Dixon","00-0027772"
"34",2015,"Anthony Fasano","TEN","TE","A.Fasano","00-0024268"
"35",2015,"Anthony Sherman","KC","FB","A.Sherman","00-0028074"
"36",2015,"Antone Smith","CHI","RB","A.Smith","00-0026855"
"37",2015,"Antonio Andrews","TEN","RB","A.Andrews","00-0030789"
"38",2015,"Antonio Brown","PIT","WR","A.Brown","00-0027793"
"39",2015,"Arian Foster","HOU","RB","A.Foster","00-0026796"
"40",2015,"Austin Davis","CLE","QB","A.Davis","00-0028957"
"41",2015,"Austin Johnson","NO","FB","A.Johnson","00-0029729"
"42",2015,"Austin Seferian-Jenkins","TB","TE","A.Seferian-Jenkins","00-0031418"
"43",2015,"B.J. Daniels","HOU","QB","B.Daniels","00-0030120"
"44",2015,"Ben Edwards","NYG","WR","B.Edwards","00-0032001"
"45",2015,"Ben Roethlisberger","PIT","QB","B.Roethlisberger","00-0022924"
"46",2015,"Benjamin Watson","NO","TE","B.Watson","00-0022943"
"47",2015,"Bennie Fowler","DEN","WR","B.Fowler","00-0030670"
"48",2015,"Bilal Powell","NYJ","RB","B.Powell","00-0028064"
"49",2015,"Bishop Sankey","TEN","RB","B.Sankey","00-0031413"
"50",2015,"Blaine Gabbert","SF","QB","B.Gabbert","00-0027948"
"51",2015,"Blair Walsh","MIN","K","B.Walsh","00-0029576"
"52",2015,"Blake Bell","SF","TE","B.Bell","00-0032062"
"53",2015,"Bobby Rainey","TB","RB","B.Rainey","00-0029384"
"54",2015,"Brandin Cooks","NO","WR","B.Cooks","00-0031236"
"55",2015,"Brandon Bolden","NE","RB","B.Bolden","00-0029239"
"56",2015,"Brandon Coleman","NO","WR","B.Coleman","00-0030801"
"57",2015,"Brandon LaFell","NE","WR","B.LaFell","00-0027681"
"58",2015,"Brandon Marshall","NYJ","WR","B.Marshall","00-0024334"
"59",2015,"Brandon McManus","DEN","K","B.McManus","00-0029822"
"60",2015,"Brandon Myers","TB","TE","B.Myers","00-0027135"
"61",2015,"Brandon Pettigrew","DET","TE","B.Pettigrew","00-0026996"
"62",2015,"Brandon Tate","CIN","WR","B.Tate","00-0027057"
"63",2015,"Brandon Weeden","HOU","QB","B.Weeden","00-0029677"
"64",2015,"Brent Celek","PHI","TE","B.Celek","00-0025549"
"65",2015,"Brenton Bersin","CAR","WR","B.Bersin","00-0029394"
"66",2015,"Brian Hartline","CLE","WR","B.Hartline","00-0027077"
"67",2015,"Brian Hoyer","HOU","QB","B.Hoyer","00-0026625"
"68",2015,"Brian Leonhardt","SF","TE","B.Leonhardt","00-0029755"
"69",2015,"Brian Parker","KC","TE","B.Parker","00-0032089"
"70",2015,"Brice Butler","DAL","WR","B.Butler","00-0030516"
"71",2015,"Brittan Golden","ARI","WR","B.Golden","00-0029336"
"72",2015,"Brock Osweiler","DEN","QB","B.Osweiler","00-0029682"
"73",2015,"Bruce Ellington","SF","WR","B.Ellington","00-0031326"
"74",2015,"Bruce Miller","SF","FB","B.Miller","00-0028149"
"75",2015,"Bryce Brown","SEA","RB","B.Brown","00-0029429"
"76",2015,"C.J. Anderson","DEN","RB","C.Anderson","00-0029854"
"77",2015,"C.J. Fiedorowicz","HOU","TE","C.Fiedorowicz","00-0031302"
"78",2015,"C.J. Spiller","NO","RB","C.Spiller","00-0027861"
"79",2015,"C.J. Uzomah","CIN","TE","C.Uzomah","00-0032134"
"80",2015,"Cairo Santos","KC","K","C.Santos","00-0031203"
"81",2015,"Caleb Sturgis","PHI","K","C.Sturgis","00-0030390"
"82",2015,"Calvin Johnson","DET","WR","C.Johnson","00-0025389"
"83",2015,"Cam Newton","CAR","QB","C.Newton","00-0027939"
"84",2015,"Cameron Artis-Payne","CAR","RB","C.Artis-Payne","00-0031599"
"85",2015,"Cameron Brate","TB","TE","C.Brate","00-0031273"
"86",2015,"Cameron Meredith","CHI","WR","C.Meredith","00-0031912"
"87",2015,"Carlos Hyde","SF","RB","C.Hyde","00-0031045"
"88",2015,"Carson Palmer","ARI","QB","C.Palmer","00-0021429"
"89",2015,"Cecil Shorts","HOU","WR","C.Shorts","00-0028052"
"90",2015,"Chandler Catanzaro","ARI","K","C.Catanzaro","00-0030896"
"91",2015,"Chandler Worthy","HOU","WR","C.Worthy","00-0031932"
"92",2015,"Charcandrick West","KC","RB","C.West","00-0030668"
"93",2015,"Charles Clay","BUF","TE","C.Clay","00-0028112"
