Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Seattle Seahawks,16,14,27,,,1,3,,45,,1,44,44,33,35,2,417,26.1
2,Carolina Panthers,16,14,24,,,,4,,42,,0,42,42,24,27,,366,22.9
3,San Francisco 49ers,16,18,21,,,3,2,,44,,0,44,44,32,36,1,406,25.4
4,New Orleans Saints,16,10,39,,,,,,49,,1,48,48,24,32,,414,25.9
5,Kansas City Chiefs,16,17,24,2,2,,5,2,52,,0,52,52,22,28,,430,26.9
6,Cincinnati Bengals,16,14,33,,,2,4,1,54,,1,52,53,18,22,,430,26.9
7,Arizona Cardinals,16,12,24,,,1,4,,41,1,4,37,37,30,36,2,379,23.7
8,Miami Dolphins,16,8,24,,,,2,,34,,1,33,33,26,34,1,317,19.8
9,Indianapolis Colts,16,15,23,,,,1,1,40,4,6,34,34,35,40,2,391,24.4
10,New England Patriots,16,19,25,,,1,2,,47,2,3,44,44,38,41,,444,27.8
11,San Diego Chargers,16,9,32,,,,1,,42,,0,42,42,34,37,,396,24.8
12,Baltimore Ravens,16,7,19,1,1,,1,,29,3,3,26,26,38,41,,320,20.0
13,St. Louis Rams,16,10,22,1,,3,2,,38,3,4,34,34,26,28,1,348,21.8
14,Pittsburgh Steelers,16,9,28,1,,,3,,41,1,2,39,39,30,32,1,379,23.7
15,Detroit Lions,16,15,29,1,1,1,1,,48,2,5,42,43,19,24,2,395,24.7
16,Tennessee Titans,16,16,22,,,2,1,,41,,0,41,41,25,29,,362,22.6
17,Philadelphia Eagles,16,19,32,,,1,1,,53,3,8,45,45,23,28,2,442,27.6
18,New York Giants,16,11,18,,,,2,1,32,1,1,31,31,23,26,,294,18.4
19,New York Jets,16,12,13,,,,1,1,27,,0,27,27,33,36,1,290,18.1
20,Buffalo Bills,16,15,16,,,1,2,,34,2,2,32,32,33,36,,339,21.2
21,Tampa Bay Buccaneers,16,6,22,,,,3,,31,,0,31,31,23,29,1,288,18.0
22,Denver Broncos,16,16,55,1,1,1,1,1,76,,1,75,75,25,26,,606,37.9
23,Cleveland Browns,16,4,26,1,,,3,1,35,2,2,33,33,21,26,,310,19.3
24,Houston Texans,16,7,19,1,,,1,,28,1,1,26,26,26,35,1,276,17.3
25,Green Bay Packers,16,17,25,1,,3,,,46,,4,42,42,33,37,,417,26.1
26,Dallas Cowboys,16,12,33,1,,3,2,,51,1,4,47,47,28,30,,439,27.4
27,Atlanta Falcons,16,11,26,,,1,2,,40,1,1,39,39,24,27,,353,22.1
28,Jacksonville Jaguars,16,7,16,,,1,1,,25,,2,22,23,23,25,3,247,15.4
29,Oakland Raiders,16,16,17,,,2,1,1,37,,0,37,37,21,30,,322,20.1
30,Washington Redskins,16,14,20,,,1,4,,39,2,5,33,33,21,26,,334,20.9
31,Chicago Bears,16,13,32,1,,1,5,,52,5,6,45,46,26,29,,445,27.8
32,Minnesota Vikings,16,23,18,1,2,1,,,45,,1,43,44,26,30,,391,24.4
