Team,actual_points,name,pos_keep,predicted_points
DEN,126.80000000000001,E.Sanders,WR,82.15676879882812
DEN,40.1,J.Heuerman,TE,20.847009658813477
DEN,17.700000000000003,A.Janovich,RB,10.153783798217773
DEN,49.8,D.Booker,RB,35.88151931762695
JAX,1.4000000000000001,J.Charles,RB,104.35636901855469
LA,62.400000000000006,C.Anderson,RB,70.20099639892578
NYJ,-0.09999999999999987,D.Henderson,RB,15.874107360839844
BUF,34.5,I.McKenzie,WR,14.197495460510254
HOU,97.7,De.Thomas,WR,92.75251007080078
MIA,49.275,B.Osweiler,QB,58.11932373046875
LAC,27.0,V.Green,TE,18.01656150817871
NYG,7.6000000000000005,C.Coleman,WR,14.987204551696777
JAX,28.025000000000006,C.Kessler,QB,26.19019317626953
NYJ,119.7,I.Crowell,RB,59.82960891723633
NE,97.7,J.Gordon,WR,78.23512268066406
CLE,85.0,D.Johnson,RB,69.34812927246094
CLE,79.2,R.Higgins,WR,37.21126174926758
CLE,13.4,S.DeValve,TE,25.00641632080078
CLE,87.9,D.Njoku,TE,30.089229583740234
GB,2.575,D.Kizer,QB,35.41189193725586
HOU,1.2000000000000002,S.Coates,WR,10.848483085632324
SF,0.0,M.Dayes,RB,1.856540560722351
NYG,175.47500000000002,E.Manning,QB,100.67156982421875
NYG,35.2,R.Ellison,TE,20.116666793823242
NYG,151.75,O.Beckham,WR,124.9472427368164
NYG,116.5,S.Shepard,WR,57.1564826965332
NYG,81.30000000000001,E.Engram,TE,47.540409088134766
NYG,30.5,W.Gallman,RB,13.906768798828125
SEA,19.6,B.Marshall,WR,84.63639831542969
OAK,11.2,D.Harris,WR,15.199394226074219
LAC,-1.6,G.Smith,QB,27.892324447631836
SEA,91.80000000000001,D.Baldwin,WR,80.55995178222656
SEA,246.7,R.Wilson,QB,170.61412048339844
SEA,102.80000000000001,M.Davis,RB,35.44934844970703
SEA,165.4,T.Lockett,WR,59.54300308227539
SEA,1.9000000000000001,C.Prosise,RB,15.09798812866211
SEA,44.900000000000006,N.Vannett,TE,10.422554969787598
SEA,0.8,J.McKissic,RB,9.909350395202637
SEA,3.8,T.Madden,RB,8.523771286010742
SEA,181.40000000000003,C.Carson,RB,42.34355926513672
WAS,39.1,P.Richardson,WR,37.052459716796875
DET,8.700000000000001,L.Willson,TE,20.966922760009766
GB,75.6,J.Graham,TE,99.01446533203125
TEN,5.2,D.Walker,TE,84.08384704589844
TEN,28.5,L.Stocker,TE,19.46262550354004
TEN,137.0,M.Mariota,QB,121.05692291259766
TEN,186.15,D.Henry,RB,91.54141235351562
TEN,1.6,D.Fluellen,RB,6.124068737030029
TEN,43.8,J.Smith,TE,17.656532287597656
TEN,118.60000000000001,C.Davis,WR,25.94485855102539
TEN,50.6,T.Taylor,WR,21.301206588745117
DET,0.7750000000000001,M.Cassel,QB,31.56806755065918
NYJ,2.4000000000000004,R.Matthews,WR,57.63528823852539
TEN,101.7,D.Lewis,RB,89.8552474975586
NO,3.2,M.Gillislee,RB,78.1231689453125
LA,163.20000000000002,B.Cooks,WR,70.5537109375
NE,214.975,T.Brady,QB,158.0457305908203
NE,-0.625,B.Hoyer,QB,5.537389755249023
NE,84.2,R.Gronkowski,TE,129.85536193847656
NE,2.7,D.Allen,TE,44.94731140136719
NE,30.900000000000002,J.Develin,RB,8.416765213012695
NE,71.2,C.Hogan,WR,54.93773651123047
NE,35.7,R.Burkhead,RB,53.81236267089844
NE,189.60000000000002,J.White,RB,65.17111206054688
NE,49.9,P.Dorsett,WR,35.72016525268555
NE,5.2,J.Hollister,TE,7.790053367614746
MIA,68.0,D.Amendola,WR,56.526702880859375
MIA,26.400000000000002,B.Bolden,RB,27.306066513061523
WAS,50.7,V.Davis,TE,75.6397705078125
WAS,1.8,B.Quick,WR,19.184326171875
WAS,50.6,C.Thompson,RB,53.66282653808594
WAS,65.80000000000001,J.Reed,TE,42.845741271972656
WAS,53.800000000000004,J.Crowder,WR,59.43174743652344
WAS,31.400000000000002,M.Harris,WR,15.290830612182617
WAS,0.8,R.Kelley,RB,19.91635513305664
WAS,65.2,J.Doctson,WR,29.106910705566406
WAS,3.9,B.Marshall,RB,8.602579116821289
WAS,3.7,S.Perine,RB,18.250349044799805
WAS,10.100000000000001,J.Sprinkle,TE,8.350905418395996
JAX,9.5,N.Paul,TE,23.535070419311523
MIN,217.65,K.Cousins,QB,161.8534698486328
IND,39.4,R.Grant,WR,23.680879592895508
GB,45.8,K.Bibbs,RB,18.398889541625977
BUF,37.1,T.Pryor,WR,51.784141540527344
WAS,105.3,A.Smith,QB,188.02651977539062
WAS,0.30000000000000004,J.Chesson,WR,2.2580204010009766
KC,15.8,A.Sherman,RB,7.891251087188721
KC,34.400000000000006,D.Harris,TE,25.07850456237793
KC,191.6,T.Kelce,TE,80.74766540527344
KC,9.5,D.Thomas,WR,23.458101272583008
KC,9.6,C.West,RB,40.622005462646484
KC,59.4,C.Conley,WR,34.973514556884766
KC,247.0,T.Hill,WR,87.51826477050781
KC,52.8,D.Robinson,WR,13.65814208984375
KC,340.625,P.Mahomes,QB,70.00169372558594
KC,204.20000000000002,K.Hunt,RB,98.4648208618164
CLE,2.3000000000000003,O.Charles,TE,8.324724197387695
MIA,70.0,A.Wilson,WR,49.37985610961914
CAR,2.2,T.Cadet,RB,20.4176082611084
DEN,16.2,A.Holmes,WR,50.27263259887695
NO,0.0,B.Tate,WR,21.617456436157227
KC,44.0,K.Benjamin,WR,68.91252136230469
CLE,34.325,T.Taylor,QB,153.47607421875
PHI,42.0,J.Matthews,WR,36.355777740478516
BUF,93.2,L.McCoy,RB,178.6342010498047
BUF,0.0,T.Jones,RB,8.461629867553711
BUF,16.400000000000002,C.Clay,TE,57.87547302246094
BUF,16.1,D.Thompson,WR,24.80528450012207
BUF,7.1000000000000005,P.DiMarco,RB,14.241841316223145
BUF,8.075,L.Thomas,TE,15.884167671203613
BUF,27.6,M.Murphy,RB,14.80893325805664
BUF,109.2,Z.Jones,WR,34.65198516845703
BUF,8.4,N.Peterman,QB,16.245441436767578
HOU,1.3,J.Webb,QB,9.728431701660156
MIA,14.6,N.O'Leary,TE,20.81532859802246
CAR,33.0,T.Smith,WR,36.82292175292969
CAR,7.4,K.Barner,RB,9.154656410217285
CHI,93.10000000000001,T.Burton,TE,22.031267166137695
DET,76.50000000000001,L.Blount,RB,48.571468353271484
IND,16.0,M.Johnson,WR,18.911231994628906
PHI,46.0,D.Sproles,RB,99.5279312133789
PHI,120.30000000000001,A.Jeffery,WR,77.09184265136719
PHI,54.525000000000006,N.Foles,QB,54.296016693115234
PHI,164.3,Z.Ertz,TE,71.54685974121094
