Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Pittsburgh Steelers,16,15,22,,1,,3,,41,2,2,38,38,29,37,,375,23.4
2,Green Bay Packers,16,11,31,,,1,3,,46,,0,46,46,22,28,,388,24.3
3,Baltimore Ravens,16,11,25,,1,,3,,40,,0,39,39,26,29,,357,22.3
4,Chicago Bears,16,10,23,3,,,1,,37,1,2,35,35,25,30,,334,20.9
5,Atlanta Falcons,16,14,28,1,1,1,2,,47,2,3,44,44,28,31,,414,25.9
6,New York Jets,16,14,20,,2,,3,,39,1,1,37,37,30,39,2,367,22.9
7,New Orleans Saints,16,9,33,,,,2,,44,,0,43,43,25,31,1,384,24.0
8,New England Patriots,16,19,37,1,2,1,4,1,65,,1,62,64,22,25,,518,32.4
9,Tampa Bay Buccaneers,16,9,26,,1,,3,,39,1,3,36,36,23,28,,341,21.3
10,San Diego Chargers,16,18,30,,,,3,,51,2,2,48,48,27,33,1,441,27.6
11,Kansas City Chiefs,16,13,27,1,,,3,,44,,2,42,42,20,26,,366,22.9
12,St. Louis Rams,16,9,18,,,,,,27,,0,26,27,33,39,1,289,18.1
13,Cleveland Browns,16,13,13,,,1,2,,29,,1,28,28,23,28,,271,16.9
14,Miami Dolphins,16,8,17,,,1,,,26,,1,25,25,30,41,1,273,17.1
15,Tennessee Titans,16,13,24,1,1,,1,,40,1,2,38,38,24,26,2,356,22.3
16,San Francisco 49ers,16,10,19,1,,,3,1,34,1,1,33,33,22,27,,305,19.1
17,New York Giants,16,17,31,,,,,,48,1,1,47,47,19,23,,394,24.6
18,Minnesota Vikings,16,16,14,,1,1,1,,33,1,2,30,31,17,18,,281,17.6
19,Detroit Lions,16,11,26,,1,1,2,,41,2,5,35,36,25,30,1,362,22.6
20,Oakland Raiders,16,19,18,,3,1,2,1,44,,1,43,43,33,41,2,410,25.6
21,Washington Redskins,16,9,21,,1,1,1,,33,2,4,28,28,24,35,,302,18.9
22,Philadelphia Eagles,16,18,28,1,,1,1,,49,1,2,47,47,32,38,,439,27.4
23,Indianapolis Colts,16,13,33,,1,1,2,1,51,,0,51,51,26,28,,435,27.2
24,Cincinnati Bengals,16,8,26,,,1,1,,36,2,4,30,32,24,31,,322,20.1
25,Seattle Seahawks,16,13,14,,3,,2,1,33,2,2,31,31,25,30,1,310,19.4
26,Carolina Panthers,16,7,9,,,,1,,17,,0,17,17,25,29,1,196,12.3
27,Jacksonville Jaguars,16,14,26,1,,,,,41,,0,41,41,22,28,,353,22.1
28,Buffalo Bills,16,6,24,,1,1,2,,34,,2,31,32,16,21,,283,17.7
29,Houston Texans,16,20,24,,,,,,44,1,1,43,43,27,30,,390,24.4
30,Arizona Cardinals,16,9,10,,2,7,3,,31,1,2,29,29,24,27,,289,18.1
31,Dallas Cowboys,16,10,29,3,,1,3,,46,2,2,42,44,24,32,,394,24.6
32,Denver Broncos,16,13,25,,1,1,,,40,,1,38,39,22,25,,344,21.5
