PLAYER,POS,TEAM,AGE,YRS,DOLLARS,AVERAGE SALARY,GUARANTEED ,PRACTICAL GUARANTEES,% GTD,FREE AGENT
Todd Davis (2018-2020),ILB,DEN,27,3,"$15,000,000 ","$5,000,000 ","$6,000,000 ","$6,000,000 ",40.00%,2021
Malcom Brown (2019-2021),DT,NO,25,3,"$15,000,000 ","$5,000,000 ","$5,500,000 ","$7,500,000 ",50.00%,2022
Vita Vea (2018-2021),DT,TB,24,4,"$14,824,238 ","$3,706,060 ","$14,824,238 ","$14,824,238 ",100.00%,2023
Chris Lindstrom (2019-2023),G,ATL,22,4,"$14,663,066 ","$3,665,767 ","$14,663,066 ","$14,663,066 ",100.00%,2024
Vic Beasley (2015-2019),DE,ATL,26,4,"$14,495,228 ","$3,623,807 ","$14,495,228 ","$14,495,228 ",100.00%,2020
Da'Ron Payne (2018-2021),DT,WAS,22,4,"$14,418,360 ","$3,604,590 ","$14,418,360 ","$14,418,360 ",100.00%,2023
Dwayne Haskins (2019-2023),QB,WAS,22,4,"$14,416,611 ","$3,604,153 ","$14,416,611 ","$14,416,611 ",100.00%,2024
Latavius Murray (2019-2022),RB,NO,28,4,"$14,400,000 ","$3,600,000 ","$7,200,000 ","$7,200,000 ",50.00%,2023
Ty Sambrailo (2019-2021),T,ATL,27,3,"$14,250,000 ","$4,750,000 ","$5,000,000 ","$5,000,000 ",35.09%,2022
Vernon Hargreaves (2016-2020),CB,TB,24,4,"$14,177,661 ","$3,544,415 ","$14,177,661 ","$14,177,661 ",100.00%,2021
K.J. Wright (2019-2020),OLB,SEA,29,2,"$14,000,000 ","$7,000,000 ","$6,500,000 ","$6,500,000 ",46.43%,2021
Deshaun Watson (2017-2021),QB,HOU,23,4,"$13,854,281 ","$3,463,570 ","$13,854,281 ","$13,854,281 ",100.00%,2022
Marcus Davenport (2018-2021),DE,NO,22,4,"$13,741,895 ","$3,435,474 ","$13,741,895 ","$13,741,895 ",100.00%,2023
Sam Martin (2016-2020),P,DET,29,4,"$13,600,276 ","$3,400,069 ","$3,175,000 ","$5,900,000 ",43.38%,2021
D.J. Swearinger (2017-2019),FS,ARISigned w/WAS,27,3,"$13,500,000 ","$4,500,000 ","$6,000,000 ","$9,000,000 ",66.67%,2020
Bradley McDougald (2018-2020),SS,SEA,28,3,"$13,500,000 ","$4,500,000 ","$5,500,000 ","$6,500,000 ",48.15%,2021
Justin Ellis (2018-2020),DT,OAK,28,3,"$13,500,000 ","$4,500,000 ","$6,250,000 ","$8,500,000 ",62.96%,2021
Haason Reddick (2017-2021),OLB,ARI,24,4,"$13,477,966 ","$3,369,492 ","$13,477,966 ","$13,477,966 ",100.00%,2022
Kolton Miller (2018-2021),LT,OAK,23,4,"$13,471,324 ","$3,367,831 ","$13,471,324 ","$13,471,324 ",100.00%,2023
Dexter Lawrence (2019-2023),DT,NYG,21,4,"$13,248,040 ","$3,312,010 ","$13,248,040 ","$13,248,040 ",100.00%,2024
Jordan Poyer (2017-2020),FS,BUF,28,4,"$13,000,000 ","$3,250,000 ","$6,000,000 ","$7,400,000 ",56.92%,2021
