"","Season","Player","Team","Pos","name","GSIS_ID"
"1",2013,"A.J. Green","CIN","WR","A.Green","00-0027942"
"2",2013,"A.J. Jenkins","KC","WR","A.Jenkins","00-0029654"
"3",2013,"Aaron Dobson","NE","WR","A.Dobson","00-0030540"
"4",2013,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
"5",2013,"Adam Vinatieri","IND","K","A.Vinatieri","00-0016919"
"6",2013,"Adrian Peterson","MIN","RB","A.Peterson","00-0025394"
"7",2013,"Ahmad Bradshaw","IND","RB","A.Bradshaw","00-0025637"
"8",2013,"Aldrick Robinson","WAS","WR","A.Robinson","00-0028116"
"9",2013,"Alex Green","NYJ","RB","A.Green","00-0028034"
"10",2013,"Alex Henery","PHI","K","A.Henery","00-0028058"
"11",2013,"Alex Smith","CIN","TE","A.Smith","00-0023506"
"12",2013,"Alex Smith","KC","QB","A.Smith","00-0023436"
"13",2013,"Alfonso Smith","ARI","RB","A.Smith","00-0027346"
"14",2013,"Alfred Morris","WAS","RB","A.Morris","00-0029141"
"15",2013,"Alshon Jeffery","CHI","WR","A.Jeffery","00-0029137"
"16",2013,"Andre Brown","NYG","RB","A.Brown","00-0027094"
"17",2013,"Andre Caldwell","DEN","WR","A.Caldwell","00-0026237"
"18",2013,"Andre Ellington","ARI","RB","A.Ellington","00-0030287"
"19",2013,"Andre Holmes","OAK","WR","A.Holmes","00-0028263"
"20",2013,"Andre Johnson","HOU","WR","A.Johnson","00-0022044"
"21",2013,"Andre Roberts","ARI","WR","A.Roberts","00-0027691"
"22",2013,"Andrew Hawkins","CIN","WR","A.Hawkins","00-0027918"
"23",2013,"Andrew Luck","IND","QB","A.Luck","00-0029668"
"24",2013,"Andrew Quarless","GB","TE","A.Quarless","00-0027753"
"25",2013,"Andy Dalton","CIN","QB","A.Dalton","00-0027973"
"26",2013,"Anquan Boldin","SF","WR","A.Boldin","00-0022084"
"27",2013,"Anthony Dixon","SF","RB","A.Dixon","00-0027772"
"28",2013,"Anthony Fasano","KC","TE","A.Fasano","00-0024268"
"29",2013,"Anthony Sherman","KC","FB","A.Sherman","00-0028074"
"30",2013,"Antone Smith","ATL","RB","A.Smith","00-0026855"
"31",2013,"Antonio Brown","PIT","WR","A.Brown","00-0027793"
"32",2013,"Arian Foster","HOU","RB","A.Foster","00-0026796"
"33",2013,"Armanti Edwards","CLE","WR","A.Edwards","00-0027692"
"34",2013,"Armond Smith","CAR","RB","A.Smith","00-0028706"
"35",2013,"Austin Collie","NE","WR","A.Collie","00-0027092"
"36",2013,"Bear Pascoe","NYG","TE","B.Pascoe","00-0026931"
"37",2013,"Ben Obomanu","NYJ","WR","B.Obomanu","00-0024463"
"38",2013,"Ben Roethlisberger","PIT","QB","B.Roethlisberger","00-0022924"
"39",2013,"Ben Tate","HOU","RB","B.Tate","00-0027890"
"40",2013,"Benjamin Watson","NO","TE","B.Watson","00-0022943"
"41",2013,"BenJarvus Green-Ellis","CIN","RB","B.Green-Ellis","00-0025860"
"42",2013,"Bernard Pierce","BAL","RB","B.Pierce","00-0029264"
"43",2013,"Bernard Scott","BAL","RB","B.Scott","00-0026941"
"44",2013,"Bilal Powell","NYJ","RB","B.Powell","00-0028064"
"45",2013,"Billy Bajema","BAL","TE","B.Bajema","00-0023679"
"46",2013,"Billy Cundiff","CLE","K","B.Cundiff","00-0020972"
"47",2013,"Blair Walsh","MIN","K","B.Walsh","00-0029576"
"48",2013,"Bobby Rainey","TB","RB","B.Rainey","00-0029384"
"49",2013,"Brad Smith","PHI","WR","B.Smith","00-0024318"
"50",2013,"Brandon Bolden","NE","RB","B.Bolden","00-0029239"
"51",2013,"Brandon Bostick","GB","TE","B.Bostick","00-0029601"
"52",2013,"Brandon Gibson","MIA","WR","B.Gibson","00-0026937"
"53",2013,"Brandon Jacobs","NYG","RB","B.Jacobs","00-0023545"
"54",2013,"Brandon LaFell","CAR","WR","B.LaFell","00-0027681"
"55",2013,"Brandon Marshall","CHI","WR","B.Marshall","00-0024334"
"56",2013,"Brandon Myers","NYG","TE","B.Myers","00-0027135"
"57",2013,"Brandon Pettigrew","DET","TE","B.Pettigrew","00-0026996"
"58",2013,"Brandon Stokley","BAL","WR","B.Stokley","00-0015754"
"59",2013,"Brandon Tate","CIN","WR","B.Tate","00-0027057"
"60",2013,"Brandon Weeden","CLE","QB","B.Weeden","00-0029677"
"61",2013,"Brent Celek","PHI","TE","B.Celek","00-0025549"
"62",2013,"Brian Hartline","MIA","WR","B.Hartline","00-0027077"
"63",2013,"Brian Hoyer","CLE","QB","B.Hoyer","00-0026625"
"64",2013,"Brian Leonard","TB","RB","B.Leonard","00-0025439"
"65",2013,"Brian Robiskie","ATL","WR","B.Robiskie","00-0027012"
"66",2013,"Brian Tyms","CLE","WR","B.Tyms","00-0028984"
"67",2013,"Brice Butler","OAK","WR","B.Butler","00-0030516"
"68",2013,"Brittan Golden","ARI","WR","B.Golden","00-0029336"
"69",2013,"Brock Osweiler","DEN","QB","B.Osweiler","00-0029682"
"70",2013,"Bruce Miller","SF","FB","B.Miller","00-0028149"
"71",2013,"Bryce Brown","PHI","RB","B.Brown","00-0029429"
"72",2013,"C.J. Anderson","DEN","RB","C.Anderson","00-0029854"
"73",2013,"C.J. Spiller","BUF","RB","C.Spiller","00-0027861"
"74",2013,"Caleb Sturgis","MIA","K","C.Sturgis","00-0030390"
"75",2013,"Calvin Johnson","DET","WR","C.Johnson","00-0025389"
"76",2013,"Cam Newton","CAR","QB","C.Newton","00-0027939"
"77",2013,"Carson Palmer","ARI","QB","C.Palmer","00-0021429"
"78",2013,"Case Keenum","HOU","QB","C.Keenum","00-0028986"
"79",2013,"Cedric Peerman","CIN","RB","C.Peerman","00-0026932"
"80",2013,"Chad Hall","KC","WR","C.Hall","00-0027188"
"81",2013,"Charles Clay","MIA","TE","C.Clay","00-0028112"
"82",2013,"Chase Coffman","ATL","TE","C.Coffman","00-0027069"
"83",2013,"Chase Daniel","KC","QB","C.Daniel","00-0026544"
"84",2013,"Chase Ford","MIN","TE","C.Ford","00-0029432"
"85",2013,"Chris Gragg","BUF","TE","C.Gragg","00-0030049"
"86",2013,"Chris Hogan","BUF","WR","C.Hogan","00-0028237"
"87",2013,"Chris Ivory","NYJ","RB","C.Ivory","00-0027531"
"88",2013,"Chris Johnson","TEN","RB","C.Johnson","00-0026164"
"89",2013,"Chris Ogbonnaya","CLE","RB","C.Ogbonnaya","00-0027140"
"90",2013,"Chris Owusu","TB","WR","C.Owusu","00-0028905"
"91",2013,"Chris Polk","PHI","RB","C.Polk","00-0029438"
"92",2013,"Christian Ponder","MIN","QB","C.Ponder","00-0027950"
"93",2013,"Christine Michael","SEA","RB","C.Michael","00-0030432"
"94",2013,"Clyde Gates","NYJ","WR","C.Gates","00-0028049"
"95",2013,"Coby Fleener","IND","TE","C.Fleener","00-0029697"
"96",2013,"Cole Beasley","DAL","WR","C.Beasley","00-0029000"
"97",2013,"Colin Kaepernick","SF","QB","C.Kaepernick","00-0027974"
"98",2013,"Colt McCoy","SF","QB","C.McCoy","00-0027688"
"99",2013,"Cordarrelle Patterson","MIN","WR","C.Patterson","00-0030578"
"100",2013,"Craig Stevens","TEN","TE","C.Stevens","00-0026225"
"101",2013,"Curtis Painter","NYG","QB","C.Painter","00-0027134"
"102",2013,"Cyrus Gray","KC","RB","C.Gray","00-0029298"
"103",2013,"D.J. Williams","NE","TE","D.Williams","00-0028079"
"104",2013,"Da'Rel Scott","NYG","RB","D.Scott","00-0028159"
"105",2013,"Da'Rick Rogers","IND","WR","D.Rogers","00-0030043"
"106",2013,"Dallas Clark","BAL","TE","D.Clark","00-0022165"
"107",2013,"Damaris Johnson","PHI","WR","D.Johnson","00-0029435"
"108",2013,"Damian Williams","TEN","WR","D.Williams","00-0027893"
"109",2013,"Dan Bailey","DAL","K","D.Bailey","00-0028660"
"110",2013,"Dan Carpenter","BUF","K","D.Carpenter","00-0026003"
"111",2013,"Dan Herron","IND","RB","D.Herron","00-0029588"
"112",2013,"Dane Sanzenbacher","CIN","WR","D.Sanzenbacher","00-0028352"
"113",2013,"Daniel Thomas","MIA","RB","D.Thomas","00-0028000"
"114",2013,"Danny Amendola","NE","WR","D.Amendola","00-0026035"
"115",2013,"Dante Rosario","CHI","TE","D.Rosario","00-0025542"
"116",2013,"Darius Johnson","ATL","WR","D.Johnson","00-0029778"
"117",2013,"Darrel Young","WAS","FB","D.Young","00-0026852"
