"","Season","Player","Team","Pos","name","GSIS_ID"
"1",2012,"A.J. Green","CIN","WR","A.Green","00-0027942"
"2",2012,"A.J. Jenkins","SF","WR","A.Jenkins","00-0029654"
"3",2012,"Aaron Hernandez","NE","TE","A.Hernandez","00-0027713"
"4",2012,"Aaron Rodgers","GB","QB","A.Rodgers","00-0023459"
"5",2012,"Adam Vinatieri","IND","K","A.Vinatieri","00-0016919"
"6",2012,"Adrian Peterson","MIN","RB","A.Peterson","00-0025394"
"7",2012,"Ahmad Bradshaw","NYG","RB","A.Bradshaw","00-0025637"
"8",2012,"Aldrick Robinson","WAS","WR","A.Robinson","00-0028116"
"9",2012,"Alex Green","GB","RB","A.Green","00-0028034"
"10",2012,"Alex Henery","PHI","K","A.Henery","00-0028058"
"11",2012,"Alex Smith","CLE","TE","A.Smith","00-0023506"
"12",2012,"Alex Smith","SF","QB","A.Smith","00-0023436"
"13",2012,"Alfred Morris","WAS","RB","A.Morris","00-0029141"
"14",2012,"Alshon Jeffery","CHI","WR","A.Jeffery","00-0029137"
"15",2012,"Andre Brown","NYG","RB","A.Brown","00-0027094"
"16",2012,"Andre Caldwell","DEN","WR","A.Caldwell","00-0026237"
"17",2012,"Andre Johnson","HOU","WR","A.Johnson","00-0022044"
"18",2012,"Andre Roberts","ARI","WR","A.Roberts","00-0027691"
"19",2012,"Andrew Hawkins","CIN","WR","A.Hawkins","00-0027918"
"20",2012,"Andrew Luck","IND","QB","A.Luck","00-0029668"
"21",2012,"Andy Dalton","CIN","QB","A.Dalton","00-0027973"
"22",2012,"Anquan Boldin","BAL","WR","A.Boldin","00-0022084"
"23",2012,"Anthony Allen","BAL","RB","A.Allen","00-0028163"
"24",2012,"Anthony Dixon","SF","RB","A.Dixon","00-0027772"
"25",2012,"Anthony Fasano","MIA","TE","A.Fasano","00-0024268"
"26",2012,"Anthony McCoy","SEA","TE","A.McCoy","00-0027783"
"27",2012,"Antonio Brown","PIT","WR","A.Brown","00-0027793"
"28",2012,"Arian Foster","HOU","RB","A.Foster","00-0026796"
"29",2012,"Armando Allen","CHI","RB","A.Allen","00-0028565"
"30",2012,"Armanti Edwards","CAR","WR","A.Edwards","00-0027692"
"31",2012,"Armon Binns","MIA","WR","A.Binns","00-0028400"
"32",2012,"Armond Smith","CAR","RB","A.Smith","00-0028706"
"33",2012,"Arrelious Benn","TB","WR","A.Benn","00-0027654"
"34",2012,"Austin Collie","IND","WR","A.Collie","00-0027092"
"35",2012,"Baron Batch","PIT","RB","B.Batch","00-0028170"
"36",2012,"Beanie Wells","ARI","RB","B.Wells","00-0027007"
"37",2012,"Bear Pascoe","NYG","TE","B.Pascoe","00-0026931"
"38",2012,"Ben Hartsock","CAR","TE","B.Hartsock","00-0022847"
"39",2012,"Ben Obomanu","SEA","WR","B.Obomanu","00-0024463"
"40",2012,"Ben Roethlisberger","PIT","QB","B.Roethlisberger","00-0022924"
"41",2012,"Ben Tate","HOU","RB","B.Tate","00-0027890"
"42",2012,"Benjamin Watson","CLE","TE","B.Watson","00-0022943"
"43",2012,"BenJarvus Green-Ellis","CIN","RB","B.Green-Ellis","00-0025860"
"44",2012,"Bernard Pierce","BAL","RB","B.Pierce","00-0029264"
"45",2012,"Bernard Scott","CIN","RB","B.Scott","00-0026941"
"46",2012,"Bilal Powell","NYJ","RB","B.Powell","00-0028064"
"47",2012,"Billy Bajema","BAL","TE","B.Bajema","00-0023679"
"48",2012,"Blair Walsh","MIN","K","B.Walsh","00-0029576"
"49",2012,"Brad Smith","BUF","WR","B.Smith","00-0024318"
"50",2012,"Brady Quinn","KC","QB","B.Quinn","00-0025409"
"51",2012,"Brandon Banks","WAS","WR","B.Banks","00-0027618"
"52",2012,"Brandon Bolden","NE","RB","B.Bolden","00-0029239"
"53",2012,"Brandon Jackson","CLE","RB","B.Jackson","00-0025450"
"54",2012,"Brandon Jacobs","SF","RB","B.Jacobs","00-0023545"
"55",2012,"Brandon LaFell","CAR","WR","B.LaFell","00-0027681"
"56",2012,"Brandon Lloyd","NE","WR","B.Lloyd","00-0022097"
"57",2012,"Brandon Marshall","CHI","WR","B.Marshall","00-0024334"
"58",2012,"Brandon Myers","OAK","TE","B.Myers","00-0027135"
"59",2012,"Brandon Pettigrew","DET","TE","B.Pettigrew","00-0026996"
"60",2012,"Brandon Stokley","DEN","WR","B.Stokley","00-0015754"
"61",2012,"Brandon Tate","CIN","WR","B.Tate","00-0027057"
"62",2012,"Brandon Weeden","CLE","QB","B.Weeden","00-0029677"
"63",2012,"Braylon Edwards","NYJ","WR","B.Edwards","00-0023438"
"64",2012,"Brent Celek","PHI","TE","B.Celek","00-0025549"
"65",2012,"Brian Hartline","MIA","WR","B.Hartline","00-0027077"
"66",2012,"Brian Hoyer","ARI","QB","B.Hoyer","00-0026625"
"67",2012,"Brian Leonard","CIN","RB","B.Leonard","00-0025439"
"68",2012,"Brian Robiskie","DET","WR","B.Robiskie","00-0027012"
"69",2012,"Brock Osweiler","DEN","QB","B.Osweiler","00-0029682"
"70",2012,"Bruce Gradkowski","CIN","QB","B.Gradkowski","00-0024408"
"71",2012,"Bruce Miller","SF","FB","B.Miller","00-0028149"
"72",2012,"Bryce Brown","PHI","RB","B.Brown","00-0029429"
"73",2012,"Byron Leftwich","PIT","QB","B.Leftwich","00-0022177"
"74",2012,"C.J. Spiller","BUF","RB","C.Spiller","00-0027861"
"75",2012,"Calvin Johnson","DET","WR","C.Johnson","00-0025389"
"76",2012,"Cam Newton","CAR","QB","C.Newton","00-0027939"
"77",2012,"Carson Palmer","OAK","QB","C.Palmer","00-0021429"
"78",2012,"Cedric Benson","GB","RB","C.Benson","00-0023439"
"79",2012,"Cedric Peerman","CIN","RB","C.Peerman","00-0026932"
"80",2012,"Charlie Batch","PIT","QB","C.Batch","00-0000865"
"81",2012,"Charly Martin","SEA","WR","C.Martin","00-0026753"
"82",2012,"Chase Coffman","ATL","TE","C.Coffman","00-0027069"
"83",2012,"Chase Daniel","NO","QB","C.Daniel","00-0026544"
"84",2012,"Chaz Schilens","NYJ","WR","C.Schilens","00-0026366"
"85",2012,"Chris Cooley","WAS","TE","C.Cooley","00-0022738"
"86",2012,"Chris Ivory","NO","RB","C.Ivory","00-0027531"
"87",2012,"Chris Johnson","TEN","RB","C.Johnson","00-0026164"
"88",2012,"Chris Ogbonnaya","CLE","RB","C.Ogbonnaya","00-0027140"
"89",2012,"Chris Owusu","TB","WR","C.Owusu","00-0028905"
"90",2012,"Chris Rainey","PIT","RB","C.Rainey","00-0029140"
"91",2012,"Christian Ponder","MIN","QB","C.Ponder","00-0027950"
"92",2012,"Clay Harbor","PHI","TE","C.Harbor","00-0027725"
"93",2012,"Clyde Gates","NYJ","WR","C.Gates","00-0028049"
"94",2012,"Coby Fleener","IND","TE","C.Fleener","00-0029697"
"95",2012,"Cole Beasley","DAL","WR","C.Beasley","00-0029000"
"96",2012,"Colin Kaepernick","SF","QB","C.Kaepernick","00-0027974"
"97",2012,"Collin Mooney","TEN","RB","C.Mooney","00-0028876"
"98",2012,"Colt McCoy","CLE","QB","C.McCoy","00-0027688"
"99",2012,"Connor Barth","TB","K","C.Barth","00-0026138"
"100",2012,"Courtney Roby","NO","WR","C.Roby","00-0023503"
"101",2012,"Craig Stevens","TEN","TE","C.Stevens","00-0026225"
"102",2012,"Cyrus Gray","KC","RB","C.Gray","00-0029298"
"103",2012,"D.J. Ware","TB","RB","D.Ware","00-0024559"
"104",2012,"D.J. Williams","GB","TE","D.Williams","00-0028079"
"105",2012,"Da'Rel Scott","NYG","RB","D.Scott","00-0028159"
"106",2012,"Dallas Clark","TB","TE","D.Clark","00-0022165"
"107",2012,"Damaris Johnson","PHI","WR","D.Johnson","00-0029435"
"108",2012,"Damian Williams","TEN","WR","D.Williams","00-0027893"
"109",2012,"Dan Bailey","DAL","K","D.Bailey","00-0028660"
"110",2012,"Dan Carpenter","MIA","K","D.Carpenter","00-0026003"
"111",2012,"Dan Herron","CIN","RB","D.Herron","00-0029588"
"112",2012,"Dan Orlovsky","TB","QB","D.Orlovsky","00-0023578"
"113",2012,"Daniel Fells","NE","TE","D.Fells","00-0023752"
"114",2012,"Daniel Thomas","MIA","RB","D.Thomas","00-0028000"
"115",2012,"Danny Woodhead","NE","RB","D.Woodhead","00-0026019"
"116",2012,"Darius Reynaud","TEN","WR","D.Reynaud","00-0025951"
"117",2012,"Darrel Young","WAS","FB","D.Young","00-0026852"
"118",2012,"Darren McFadden","OAK","RB","D.McFadden","00-0026144"
"119",2012,"Darren Sproles","NO","RB","D.Sproles","00-0023564"
"120",2012,"Darrius Heyward-Bey","OAK","WR","D.Heyward-Bey","00-0026983"
"121",2012,"David Akers","SF","K","D.Akers","00-0000108"
"122",2012,"David Ausberry","OAK","TE","D.Ausberry","00-0028179"
"123",2012,"David Carr","NYG","QB","D.Carr","00-0020608"
"124",2012,"David Gilreath","PIT","WR","D.Gilreath","00-0028646"
"125",2012,"David Nelson","BUF","WR","D.Nelson","00-0027322"
"126",2012,"David Paulson","PIT","TE","D.Paulson","00-0029218"
"127",2012,"David Reed","BAL","WR","D.Reed","00-0027755"
"128",2012,"David Thomas","NO","TE","D.Thomas","00-0024301"
